zone,timestamp_utc,hydro_pumped_storage_consumption,cross_border_electricity_trading,nuclear,hydro_run-of-river,biomass,fossil_oil,fossil_gas,hydro_pumped_storage,battery,others,waste,wind_offshore,wind_onshore,solar,load,residual_load,renewable_share_of_load,renewable_share_of_generation,source
BE,2024-12-31 23:00:00+00:00,-209.8,-1247.4,3954.8,100.2,243.1,57.2,1107.5,0.0,5.0,6.4,243.8,2063.3,1875.5,0.0,8233.8,4294.9,53.5,45.6,Fraunhofer Energy-Charts
BE,2025-01-01 00:00:00+00:00,-393.3,-1439.5,3952.3,100.4,244.9,57.4,1101.2,0.0,10.2,5.2,246.3,2060.6,1920.2,0.0,7886.0,3905.2,56.4,45.9,Fraunhofer Energy-Charts
BE,2025-01-01 01:00:00+00:00,-24.9,-2242.9,3952.2,95.8,243.4,56.4,1097.0,0.0,23.3,5.4,245.5,2080.7,2102.2,0.0,7495.7,3312.8,62.0,47.0,Fraunhofer Energy-Charts
BE,2025-01-01 02:00:00+00:00,-241.8,-2185.7,3952.6,94.6,246.8,56.1,1103.0,0.0,10.6,5.8,243.6,2083.9,1991.1,0.0,7273.0,3198.0,62.4,46.4,Fraunhofer Energy-Charts
BE,2025-01-01 03:00:00+00:00,-246.4,-2291.9,3952.8,93.1,246.9,58.8,1084.9,0.0,9.5,5.5,243.6,2120.3,2036.9,0.0,7146.4,2989.1,64.6,46.9,Fraunhofer Energy-Charts
BE,2025-01-01 04:00:00+00:00,-246.0,-2214.3,3951.6,93.7,250.2,59.9,1067.8,0.0,0.0,5.4,244.6,2120.0,2002.4,0.0,7207.8,3085.4,63.7,46.8,Fraunhofer Energy-Charts
BE,2025-01-01 05:00:00+00:00,-245.4,-2065.4,3952.2,95.6,254.9,59.8,1074.8,0.0,4.4,6.3,243.4,2122.8,2008.2,0.0,7293.8,3162.7,63.1,46.9,Fraunhofer Energy-Charts
BE,2025-01-01 06:00:00+00:00,-212.8,-2025.1,3951.1,96.6,255.2,64.3,1113.8,0.0,2.2,5.5,242.6,2121.5,2000.9,0.0,7388.9,3266.6,62.2,46.6,Fraunhofer Energy-Charts
BE,2025-01-01 07:00:00+00:00,-396.8,-1559.0,3952.4,96.7,254.0,64.6,1120.2,0.0,2.6,4.3,244.8,2090.8,1893.8,0.1,7493.3,3508.6,59.5,45.9,Fraunhofer Energy-Charts
BE,2025-01-01 08:00:00+00:00,-6.3,-1863.7,3953.6,97.3,257.6,63.4,1105.2,0.0,4.6,5.3,240.2,2097.4,2011.5,61.9,7645.0,3474.3,60.8,47.0,Fraunhofer Energy-Charts
