zone,timestamp_utc,hydro_pumped_storage_consumption,cross_border_electricity_trading,nuclear,hydro_run-of-river,biomass,fossil_brown_coal___lignite,fossil_hard_coal,fossil_oil,fossil_coal-derived_gas,fossil_gas,hydro_water_reservoir,hydro_pumped_storage,others,other_renewables,waste,wind_onshore,solar,load,residual_load,renewable_share_of_load,renewable_share_of_generation,source
CZ,2024-12-31 23:00:00+00:00,-170.8,-1389.8,2971.6,25.1,244.1,3113.9,38.9,14.5,0.0,476.4,105.6,0.0,31.5,252.4,22.3,156.7,0.0,5900.7,5744.1,13.5,10.7,Fraunhofer Energy-Charts
CZ,2024-12-31 23:15:00+00:00,-313.7,-1390.4,2983.6,20.5,244.2,3077.1,40.2,20.3,0.0,576.2,139.8,35.8,31.0,253.3,22.8,160.9,0.0,5929.8,5768.9,14.0,11.0,Fraunhofer Energy-Charts
CZ,2024-12-31 23:30:00+00:00,-314.2,-1390.6,2983.6,27.6,244.1,3014.8,39.2,19.0,0.0,586.5,94.0,1.0,30.7,252.3,23.1,156.7,0.0,5871.6,5714.9,13.4,10.5,Fraunhofer Energy-Charts
CZ,2024-12-31 23:45:00+00:00,-209.4,-1390.8,2982.7,27.9,243.8,2872.1,38.5,23.1,0.0,675.4,92.8,0.0,30.8,251.7,22.8,150.4,0.0,5865.5,5715.1,13.3,10.5,Fraunhofer Energy-Charts
CZ,2025-01-01 00:00:00+00:00,-0.0,-1648.5,3011.8,77.8,245.5,2833.5,39.4,35.4,0.0,669.6,168.4,0.0,31.4,252.8,23.1,141.3,0.0,5902.1,5760.8,15.2,11.9,Fraunhofer Energy-Charts
CZ,2025-01-01 00:15:00+00:00,-0.0,-1648.8,3030.2,76.3,245.7,2922.8,30.5,39.9,0.0,644.1,216.4,0.0,31.9,253.7,23.0,126.4,0.0,5967.1,5840.7,15.6,12.2,Fraunhofer Energy-Charts
CZ,2025-01-01 00:30:00+00:00,-0.0,-1649.5,3028.9,82.6,245.7,2999.9,35.4,41.0,0.0,538.8,85.5,0.0,31.8,253.4,23.0,142.6,0.0,5922.7,5780.1,13.9,10.9,Fraunhofer Energy-Charts
CZ,2025-01-01 00:45:00+00:00,-0.0,-1649.5,3057.9,83.7,245.5,3027.9,38.7,32.1,0.0,564.5,73.8,0.0,32.0,253.6,23.0,153.2,0.0,5947.6,5794.3,13.8,10.8,Fraunhofer Energy-Charts
CZ,2025-01-01 01:00:00+00:00,-0.0,-1614.9,3076.5,84.8,245.2,3010.6,40.0,11.2,0.0,529.2,58.3,0.0,32.9,253.6,23.2,146.1,0.0,5939.8,5793.6,13.5,10.6,Fraunhofer Energy-Charts
CZ,2025-01-01 01:15:00+00:00,-0.0,-1614.8,3078.5,84.8,245.2,2984.2,37.7,13.4,0.0,526.3,58.4,0.0,32.7,253.9,23.2,141.3,0.0,5891.5,5750.2,13.5,10.6,Fraunhofer Energy-Charts
CZ,2025-01-01 01:30:00+00:00,-0.0,-1613.9,3107.2,84.8,245.1,2897.7,36.4,5.2,0.0,514.7,58.1,0.0,32.6,253.5,22.7,149.9,0.0,5880.1,5730.1,13.7,10.8,Fraunhofer Energy-Charts
CZ,2025-01-01 01:45:00+00:00,-0.0,-1614.9,3125.7,85.0,245.1,2758.5,37.6,13.9,0.0,536.8,56.6,0.0,32.5,252.9,23.1,141.0,0.0,5829.1,5688.1,13.6,10.8,Fraunhofer Energy-Charts
CZ,2025-01-01 02:00:00+00:00,-0.0,-1545.9,3126.8,86.4,244.4,2812.1,38.9,20.5,0.0,523.7,46.9,0.0,32.2,252.8,23.3,132.5,0.0,5830.2,5697.7,13.3,10.6,Fraunhofer Energy-Charts
CZ,2025-01-01 02:15:00+00:00,-0.0,-1545.9,3164.9,86.3,244.5,2775.1,39.0,27.6,0.0,510.1,47.0,0.0,31.9,253.6,23.0,135.8,0.0,5821.4,5685.6,13.4,10.6,Fraunhofer Energy-Charts
CZ,2025-01-01 02:30:00+00:00,-0.0,-1545.9,3170.9,86.4,244.3,2783.4,36.3,18.4,0.0,506.9,46.9,0.0,32.0,253.1,22.9,144.3,0.0,5786.8,5642.5,13.6,10.7,Fraunhofer Energy-Charts
CZ,2025-01-01 02:45:00+00:00,-0.0,-1545.9,3187.1,86.4,243.3,2720.8,30.4,0.0,0.0,451.3,46.7,0.0,32.2,252.9,22.8,149.7,0.0,5728.2,5578.4,13.8,10.9,Fraunhofer Energy-Charts
CZ,2025-01-01 03:00:00+00:00,-0.0,-1445.9,3221.0,86.4,244.0,2757.2,39.5,0.0,0.0,327.6,46.5,0.0,33.7,253.5,22.7,146.0,0.0,5762.8,5616.8,13.7,11.0,Fraunhofer Energy-Charts
CZ,2025-01-01 03:15:00+00:00,-0.0,-1445.9,3250.0,86.4,243.5,2792.7,33.4,0.0,0.0,292.7,46.4,0.0,33.8,253.7,22.5,148.2,0.0,5767.4,5619.2,13.7,11.0,Fraunhofer Energy-Charts
CZ,2025-01-01 03:30:00+00:00,-0.0,-1445.9,3265.8,86.2,244.1,2749.0,36.9,4.7,0.0,292.6,47.7,0.0,33.8,252.9,23.0,150.1,0.0,5779.4,5629.4,13.7,11.0,Fraunhofer Energy-Charts
CZ,2025-01-01 03:45:00+00:00,-0.0,-1445.9,3269.4,86.3,244.1,2763.6,30.6,3.6,0.0,293.1,47.5,0.0,33.8,251.9,22.8,145.9,0.0,5762.4,5616.5,13.7,10.9,Fraunhofer Energy-Charts
CZ,2025-01-01 04:00:00+00:00,-183.1,-1389.7,3308.6,86.3,246.2,2787.5,36.9,20.7,0.0,299.6,47.2,0.0,33.8,251.3,23.3,150.2,0.0,5771.0,5620.8,13.7,10.9,Fraunhofer Energy-Charts
CZ,2025-01-01 04:15:00+00:00,-218.5,-1385.6,3314.2,86.3,246.0,2867.0,37.1,8.9,0.0,297.3,47.0,0.0,34.2,251.1,22.5,146.1,0.0,5771.1,5625.0,13.7,10.7,Fraunhofer Energy-Charts
CZ,2025-01-01 04:30:00+00:00,-218.4,-1385.6,3315.7,86.6,245.5,2850.0,39.1,0.0,0.0,297.1,45.1,0.0,34.3,250.1,22.6,141.8,0.0,5758.8,5617.0,13.6,10.7,Fraunhofer Energy-Charts
CZ,2025-01-01 04:45:00+00:00,-182.8,-1385.6,3315.2,85.6,245.2,2809.2,38.9,17.4,0.0,299.1,52.1,0.0,35.6,251.2,23.0,141.4,0.0,5744.6,5603.3,13.7,10.8,Fraunhofer Energy-Charts
CZ,2025-01-01 05:00:00+00:00,-207.4,-1467.2,3344.5,78.2,246.1,2727.2,39.2,0.0,0.0,304.8,138.1,0.0,45.9,255.0,23.2,137.0,0.0,5767.6,5630.6,15.0,11.8,Fraunhofer Energy-Charts
CZ,2025-01-01 05:15:00+00:00,-313.4,-1475.9,3361.4,77.7,246.4,2791.5,39.5,3.6,0.0,305.7,148.4,0.0,48.4,257.2,23.0,137.3,0.0,5775.0,5637.8,15.2,11.8,Fraunhofer Energy-Charts
CZ,2025-01-01 05:30:00+00:00,-313.4,-1462.6,3362.4,77.7,246.4,2818.8,35.1,0.5,0.0,304.0,148.5,0.0,48.6,256.1,22.9,151.9,0.0,5796.8,5644.9,15.4,11.9,Fraunhofer Energy-Charts
CZ,2025-01-01 05:45:00+00:00,-208.7,-1465.4,3394.3,77.7,246.4,2740.1,40.5,3.2,0.0,302.6,149.1,0.0,48.8,254.9,22.5,155.2,0.0,5819.2,5664.0,15.4,12.0,Fraunhofer Energy-Charts
CZ,2025-01-01 06:00:00+00:00,-0.0,-1576.5,3412.8,77.0,245.8,2642.1,39.6,8.9,0.0,304.4,164.7,0.0,52.5,256.7,22.9,149.4,8.4,5876.1,5718.3,15.5,12.4,Fraunhofer Energy-Charts
CZ,2025-01-01 06:15:00+00:00,-0.0,-1576.5,3412.0,74.6,246.6,2596.3,42.5,48.1,0.0,302.9,245.7,0.0,55.0,259.4,22.4,152.1,12.6,5931.1,5766.5,16.9,13.4,Fraunhofer Energy-Charts
CZ,2025-01-01 06:30:00+00:00,-0.0,-1576.5,3440.3,76.8,246.2,2592.4,37.3,28.7,0.0,299.7,170.8,0.0,55.9,259.3,22.6,162.4,12.6,5854.5,5679.6,16.0,12.7,Fraunhofer Energy-Charts
CZ,2025-01-01 06:45:00+00:00,-86.6,-1576.5,3456.5,77.7,245.7,2601.4,35.1,1.2,0.0,300.1,148.3,0.0,54.3,258.5,22.8,163.3,13.0,5822.1,5645.8,15.8,12.4,Fraunhofer Energy-Charts
CZ,2025-01-01 07:00:00+00:00,-358.5,-979.8,3456.1,84.4,245.1,2499.6,36.3,4.9,0.0,309.5,79.2,0.0,54.9,258.4,22.6,158.1,18.3,5785.4,5608.9,14.8,11.8,Fraunhofer Energy-Charts
CZ,2025-01-01 07:15:00+00:00,-364.7,-954.8,3484.2,85.5,244.5,2351.6,31.9,0.0,0.0,306.8,69.5,0.0,53.9,257.8,22.7,158.7,49.1,5818.9,5611.0,15.1,12.3,Fraunhofer Energy-Charts
CZ,2025-01-01 07:30:00+00:00,-364.3,-924.5,3504.9,85.5,244.5,2304.4,31.7,0.0,0.0,304.4,69.6,0.0,52.4,257.9,22.4,165.3,105.6,5894.0,5623.1,15.9,13.1,Fraunhofer Energy-Charts
CZ,2025-01-01 07:45:00+00:00,-364.2,-894.8,3512.2,86.3,244.4,2268.1,31.5,0.0,0.0,305.7,63.0,0.0,53.6,258.8,22.5,160.0,173.0,5971.9,5638.8,16.7,13.9,Fraunhofer Energy-Charts
CZ,2025-01-01 08:00:00+00:00,-595.7,-370.8,3512.9,64.0,244.3,2217.4,31.8,0.0,0.0,303.5,1.2,0.0,51.1,256.0,22.4,155.8,243.6,6034.5,5635.2,16.2,13.7,Fraunhofer Energy-Charts
CZ,2025-01-01 08:15:00+00:00,-687.2,-360.8,3513.0,61.5,244.3,2188.6,32.1,0.0,0.0,302.7,0.0,0.0,49.9,256.7,22.4,149.4,314.1,6146.5,5683.0,16.9,14.5,Fraunhofer Energy-Charts
CZ,2025-01-01 08:30:00+00:00,-686.4,-343.4,3513.7,61.5,244.3,2149.7,32.6,0.0,0.0,303.0,0.0,0.0,50.5,257.1,22.9,140.6,373.5,6225.7,5711.6,17.5,15.2,Fraunhofer Energy-Charts
CZ,2025-01-01 08:45:00+00:00,-686.1,-370.3,3514.9,61.4,244.3,2134.2,32.1,0.0,0.0,303.4,0.0,0.0,51.0,258.8,22.7,138.4,468.0,6330.9,5724.6,18.7,16.4,Fraunhofer Energy-Charts
CZ,2025-01-01 09:00:00+00:00,-799.2,-230.0,3516.8,54.4,245.1,2188.4,35.3,1.3,0.0,304.5,0.0,0.0,52.6,259.5,22.9,152.2,545.8,6471.2,5773.2,19.6,17.2,Fraunhofer Energy-Charts
CZ,2025-01-01 09:15:00+00:00,-799.2,-234.2,3518.6,54.5,245.6,2154.8,32.3,14.2,0.0,308.2,0.0,0.0,52.1,258.4,23.2,157.4,641.3,6530.7,5732.0,21.0,18.3,Fraunhofer Energy-Charts
CZ,2025-01-01 09:30:00+00:00,-797.1,-217.6,3519.5,54.8,245.6,2128.7,34.4,15.2,0.0,310.2,0.0,0.0,51.9,258.2,23.0,165.0,761.3,6653.5,5727.1,22.5,19.8,Fraunhofer Energy-Charts
CZ,2025-01-01 09:45:00+00:00,-796.8,-239.5,3520.7,54.4,245.4,2150.4,32.6,6.1,0.0,309.0,0.0,0.0,52.1,258.6,22.8,165.9,794.8,6647.5,5686.8,23.0,20.1,Fraunhofer Energy-Charts
