zone,timestamp_utc,hydro_pumped_storage_consumption,cross_border_electricity_trading,hydro_run-of-river,biomass,fossil_brown_coal___lignite,fossil_hard_coal,fossil_oil,fossil_coal-derived_gas,fossil_gas,geothermal,hydro_water_reservoir,hydro_pumped_storage,others,waste,wind_offshore,wind_onshore,solar,load,residual_load,renewable_share_of_load,renewable_share_of_generation,source
DE_LU,2024-12-31 23:00:00+00:00,-720.5,-11166.1,1587.4,4075.3,3267.6,2887.9,382.1,668.7,4121.1,23.0,108.6,453.1,211.7,1120.0,2403.3,32103.5,0.0,48412.1,13905.2,84.3,77.1,Fraunhofer Energy-Charts
DE_LU,2024-12-31 23:15:00+00:00,-828.9,-11166.1,1601.1,3943.3,3281.4,2626.1,382.2,568.0,4107.2,23.0,160.7,838.4,211.7,1119.7,2588.6,31965.5,0.0,47534.7,12980.6,85.9,77.6,Fraunhofer Energy-Charts
DE_LU,2024-12-31 23:30:00+00:00,-940.4,-10936.5,1600.7,3882.6,3278.1,2600.2,382.2,567.1,4068.3,23.0,75.1,435.4,211.8,1119.9,2529.9,31964.1,0.0,47573.4,13079.5,85.4,77.6,Fraunhofer Energy-Charts
DE_LU,2024-12-31 23:45:00+00:00,-979.7,-10936.5,1629.3,3854.1,3309.5,2587.5,382.2,579.2,4123.2,23.0,58.1,105.9,211.7,1121.5,2438.1,32025.2,0.0,47446.9,12983.5,85.5,77.5,Fraunhofer Energy-Charts
DE_LU,2025-01-01 00:00:00+00:00,-658.1,-12252.4,1603.3,3919.8,3848.7,2580.4,382.2,570.7,3942.6,23.2,58.5,367.0,211.6,1126.0,2241.6,32378.0,0.0,47200.3,12580.6,86.4,77.1,Fraunhofer Energy-Charts
DE_LU,2025-01-01 00:15:00+00:00,-856.8,-12252.4,1569.5,3870.1,3874.1,2599.1,382.2,560.2,3702.3,23.1,30.2,84.9,211.6,1114.8,2497.8,32608.7,0.0,46926.8,11820.3,87.6,77.5,Fraunhofer Energy-Charts
DE_LU,2025-01-01 00:30:00+00:00,-1319.7,-12237.3,1590.1,3866.5,3701.2,2591.7,382.2,567.5,3684.1,23.1,55.5,124.7,211.5,1127.5,2398.8,32755.8,0.0,46816.4,11661.8,88.1,77.9,Fraunhofer Energy-Charts
DE_LU,2025-01-01 00:45:00+00:00,-1566.6,-12237.3,1608.2,3870.5,3600.3,2597.0,382.2,581.0,3813.9,23.1,55.4,0.3,211.5,1126.6,2396.2,32825.6,0.0,46525.8,11304.0,88.8,77.8,Fraunhofer Energy-Charts
DE_LU,2025-01-01 01:00:00+00:00,-1625.8,-10352.9,1575.9,3832.8,3324.3,2595.5,382.2,564.1,3662.3,23.1,35.1,3.8,211.5,1120.2,2663.3,32888.4,0.0,46239.0,10687.2,89.9,78.6,Fraunhofer Energy-Charts
DE_LU,2025-01-01 01:15:00+00:00,-2103.8,-10352.9,1563.4,3858.8,3270.7,2599.0,382.2,532.4,3705.5,23.1,17.3,0.2,211.9,1119.6,2651.0,33024.4,0.0,45860.0,10184.6,90.9,78.7,Fraunhofer Energy-Charts
DE_LU,2025-01-01 01:30:00+00:00,-2521.5,-9978.0,1588.9,3857.1,3280.9,2587.1,382.1,543.0,3691.7,23.1,40.3,0.2,211.8,1123.5,2573.7,32817.7,0.0,45637.9,10246.5,90.8,78.6,Fraunhofer Energy-Charts
DE_LU,2025-01-01 01:45:00+00:00,-2749.0,-9939.9,1569.0,3870.8,3243.0,2579.0,382.1,513.1,3699.3,23.3,23.0,0.2,211.7,1120.9,2517.6,32800.1,0.0,45453.2,10135.5,90.9,78.7,Fraunhofer Energy-Charts
DE_LU,2025-01-01 02:00:00+00:00,-2226.0,-8998.3,1564.9,3867.5,3247.2,2586.2,382.1,502.7,3665.7,23.3,21.9,306.0,211.9,1108.6,1796.4,31864.4,0.0,44889.3,11228.6,88.4,78.0,Fraunhofer Energy-Charts
DE_LU,2025-01-01 02:15:00+00:00,-2531.3,-8993.8,1561.2,3862.4,3237.5,2522.7,382.2,488.4,3731.5,23.4,22.8,81.6,211.5,1111.8,1738.4,31755.0,0.0,44878.9,11385.6,88.0,78.0,Fraunhofer Energy-Charts
DE_LU,2025-01-01 02:30:00+00:00,-2773.6,-8836.2,1548.9,3846.9,3235.2,2471.7,382.2,490.6,3783.5,23.3,15.1,0.2,211.5,1118.1,1632.6,32071.1,0.0,44397.8,10694.1,89.4,78.0,Fraunhofer Energy-Charts
DE_LU,2025-01-01 02:45:00+00:00,-3049.1,-8832.4,1545.7,3854.3,3243.9,2482.8,382.1,496.2,3794.9,23.4,9.3,0.2,211.4,1116.9,1536.8,32370.1,0.0,44327.8,10420.9,89.9,78.1,Fraunhofer Energy-Charts
DE_LU,2025-01-01 03:00:00+00:00,-4082.6,-7935.8,1550.1,3848.9,3265.6,2471.6,382.1,487.8,3796.8,23.4,60.3,10.4,211.5,1104.2,1417.1,32202.1,0.0,43738.2,10119.0,90.6,78.0,Fraunhofer Energy-Charts
DE_LU,2025-01-01 03:15:00+00:00,-4682.1,-7981.2,1549.6,3833.0,3255.8,2482.4,382.2,475.9,3805.0,23.4,17.6,1.6,211.5,1122.9,1372.5,32088.4,0.0,43811.5,10350.6,90.0,77.9,Fraunhofer Energy-Charts
