zone,timestamp_utc,hydro_pumped_storage_consumption,cross_border_electricity_trading,nuclear,hydro_run-of-river,biomass,fossil_hard_coal,fossil_oil,fossil_gas,hydro_water_reservoir,hydro_pumped_storage,waste,wind_offshore,wind_onshore,solar,load,residual_load,renewable_share_of_load,renewable_share_of_generation,source
FR,2024-12-31 23:00:00+00:00,-2350.3,418.9,47980.3,4409.9,342.3,0.0,109.5,2187.5,623.8,173.1,299.2,1377.9,9523.8,0.0,64520.6,53619.0,25.5,24.6,Fraunhofer Energy-Charts
FR,2025-01-01 00:00:00+00:00,-2391.0,-197.0,45073.3,4375.9,361.1,0.0,110.0,1763.0,706.1,218.3,299.3,1377.2,9888.0,0.0,61780.0,50514.8,27.3,26.4,Fraunhofer Energy-Charts
FR,2025-01-01 01:00:00+00:00,-2614.6,-775.7,44840.7,4301.9,358.7,0.0,110.5,1607.1,721.6,69.4,296.3,1378.8,10195.2,0.0,61409.2,49835.2,27.9,26.8,Fraunhofer Energy-Charts
FR,2025-01-01 02:00:00+00:00,-2894.9,-1161.3,43367.3,4204.2,361.4,0.0,110.0,1608.8,246.7,6.0,291.8,1362.6,10404.2,0.0,58795.5,47028.8,28.4,27.0,Fraunhofer Energy-Charts
FR,2025-01-01 03:00:00+00:00,-3069.1,-890.1,41780.2,4004.6,357.8,0.0,110.3,1632.0,212.8,0.2,296.8,1414.8,10635.8,0.0,56698.1,44647.5,29.6,27.8,Fraunhofer Energy-Charts
FR,2025-01-01 04:00:00+00:00,-2916.7,-1698.4,41198.1,3748.6,359.7,0.0,110.8,1619.7,420.7,0.2,296.9,1403.5,10957.1,0.0,56088.9,43728.3,30.4,28.3,Fraunhofer Energy-Charts
FR,2025-01-01 05:00:00+00:00,-3074.4,-1934.6,41492.3,3746.8,359.7,0.0,110.6,1623.6,380.0,0.3,295.4,1427.2,11448.0,0.0,56391.9,43516.8,31.0,28.8,Fraunhofer Energy-Charts
FR,2025-01-01 06:00:00+00:00,-3141.3,-1552.0,41053.4,3904.4,359.1,0.0,110.8,1804.7,282.2,0.2,294.0,1437.0,12135.0,0.0,56884.0,43311.9,32.1,29.8,Fraunhofer Energy-Charts
FR,2025-01-01 07:00:00+00:00,-3091.0,-3390.5,41251.4,3851.7,359.7,0.0,110.5,1841.3,251.7,77.7,295.6,1436.4,12533.7,318.4,57114.1,42825.6,33.1,30.4,Fraunhofer Energy-Charts
FR,2025-01-01 08:00:00+00:00,-3107.4,-4417.1,42525.5,3816.7,360.2,0.0,110.3,1860.4,319.8,104.9,297.0,1438.1,13169.5,802.1,57232.7,41823.1,35.0,31.0,Fraunhofer Energy-Charts
FR,2025-01-01 09:00:00+00:00,-3057.7,-5542.5,42434.2,3570.3,359.6,0.0,110.5,1862.3,229.4,3.2,307.2,1438.6,13503.9,2972.1,58527.3,40612.6,38.0,33.3,Fraunhofer Energy-Charts
