zone,timestamp_utc,cross_border_electricity_trading,nuclear,biomass,fossil_hard_coal,fossil_gas,others,waste,wind_offshore,wind_onshore,solar,load,residual_load,renewable_share_of_load,renewable_share_of_generation,source
NL,2024-12-31 23:00:00+00:00,-1194.2,486.4,14.0,312.5,811.2,4207.1,339.6,3436.7,2420.6,0.0,12075.1,6217.9,50.0,50.2,Fraunhofer Energy-Charts
NL,2024-12-31 23:15:00+00:00,-1174.0,486.4,14.0,320.9,816.7,4032.6,339.0,3538.9,2356.3,0.0,12038.3,6143.0,50.5,51.1,Fraunhofer Energy-Charts
NL,2024-12-31 23:30:00+00:00,-1169.8,486.5,14.1,302.1,803.4,4080.3,345.2,3388.3,2290.4,0.0,12086.7,6408.0,48.5,50.1,Fraunhofer Energy-Charts
NL,2024-12-31 23:45:00+00:00,-1160.4,486.5,14.2,290.3,782.7,4169.2,348.4,3449.0,2278.8,0.0,11997.0,6269.2,49.3,50.1,Fraunhofer Energy-Charts
NL,2025-01-01 00:00:00+00:00,-711.1,486.7,14.1,287.3,774.6,4022.9,348.4,3101.8,2247.3,0.0,12025.6,6676.5,46.0,49.1,Fraunhofer Energy-Charts
NL,2025-01-01 00:15:00+00:00,-674.1,486.7,14.5,280.1,778.8,3976.4,348.7,3145.4,2248.3,0.0,12014.4,6620.7,46.5,49.5,Fraunhofer Energy-Charts
NL,2025-01-01 00:30:00+00:00,-692.5,486.8,14.1,277.9,771.1,3901.3,347.8,3091.1,2276.8,0.0,11963.7,6595.7,46.4,49.8,Fraunhofer Energy-Charts
NL,2025-01-01 00:45:00+00:00,-632.2,486.8,13.9,287.3,777.3,3883.2,346.1,3105.0,2224.7,0.0,11826.1,6496.5,46.6,49.6,Fraunhofer Energy-Charts
NL,2025-01-01 01:00:00+00:00,-1221.6,486.9,13.4,290.9,886.3,3991.9,343.9,3348.8,2297.0,0.0,11773.7,6127.9,49.5,50.0,Fraunhofer Energy-Charts
NL,2025-01-01 01:15:00+00:00,-1176.4,486.8,15.1,275.5,834.1,4086.2,338.3,3417.4,2306.5,0.0,11639.9,5916.0,50.8,50.2,Fraunhofer Energy-Charts
NL,2025-01-01 01:30:00+00:00,-1170.1,486.9,15.2,288.7,783.6,3982.9,345.7,3333.5,2296.6,0.0,11628.8,5998.7,50.0,50.4,Fraunhofer Energy-Charts
NL,2025-01-01 01:45:00+00:00,-1171.3,486.8,15.3,285.3,776.8,4016.1,340.6,3407.6,2293.6,0.0,11501.9,5800.6,51.2,50.7,Fraunhofer Energy-Charts
NL,2025-01-01 02:00:00+00:00,-1521.5,486.9,15.0,273.7,772.8,4015.8,345.1,3495.6,2288.4,0.0,11446.0,5662.0,52.2,51.1,Fraunhofer Energy-Charts
NL,2025-01-01 02:15:00+00:00,-1544.0,487.4,14.9,282.8,777.2,4118.4,350.1,3481.9,2274.2,0.0,11299.6,5543.4,52.6,50.4,Fraunhofer Energy-Charts
NL,2025-01-01 02:30:00+00:00,-1520.5,486.8,14.9,292.3,765.9,4036.5,346.7,3433.2,2241.3,0.0,11281.3,5606.8,52.0,50.5,Fraunhofer Energy-Charts
NL,2025-01-01 02:45:00+00:00,-1518.9,486.8,15.1,284.6,775.9,3989.8,348.4,3248.4,2265.2,0.0,11214.8,5701.2,50.9,50.0,Fraunhofer Energy-Charts
NL,2025-01-01 03:00:00+00:00,-1532.1,486.8,14.6,279.9,805.5,3962.8,349.0,3168.0,2207.4,0.0,11229.2,5853.7,49.6,49.4,Fraunhofer Energy-Charts
NL,2025-01-01 03:15:00+00:00,-1496.8,486.7,14.8,272.2,809.7,4034.8,348.3,3235.8,2284.6,0.0,11114.8,5594.5,51.4,49.7,Fraunhofer Energy-Charts
NL,2025-01-01 03:30:00+00:00,-1514.0,486.8,15.2,275.6,812.3,4109.6,343.8,3116.6,2332.8,0.0,11093.1,5643.8,50.8,49.0,Fraunhofer Energy-Charts
NL,2025-01-01 03:45:00+00:00,-1511.3,486.8,14.8,276.5,785.9,4026.5,346.7,3099.9,2314.3,0.0,11103.7,5689.5,50.5,49.4,Fraunhofer Energy-Charts
NL,2025-01-01 04:00:00+00:00,-930.5,486.7,14.6,282.3,782.9,3919.6,351.2,2818.8,2272.8,0.0,11206.6,6115.1,47.1,48.3,Fraunhofer Energy-Charts
NL,2025-01-01 04:15:00+00:00,-921.6,486.7,14.8,286.8,788.6,3828.3,351.5,2633.5,2306.8,0.0,11214.1,6273.9,45.8,48.0,Fraunhofer Energy-Charts
NL,2025-01-01 04:30:00+00:00,-928.5,486.6,14.7,285.1,792.1,3985.0,350.0,2701.8,2314.8,0.0,11147.2,6130.6,46.7,47.6,Fraunhofer Energy-Charts
