zone,timestamp_utc,hydro_pumped_storage_consumption,cross_border_electricity_trading,hydro_run-of-river,biomass,fossil_brown_coal___lignite,fossil_hard_coal,fossil_oil,fossil_coal-derived_gas,fossil_gas,hydro_water_reservoir,hydro_pumped_storage,others,other_renewables,wind_onshore,solar,load,residual_load,renewable_share_of_load,renewable_share_of_generation,source
PL,2024-12-31 23:00:00+00:00,-83.9,-2069.2,100.6,180.4,1830.2,4724.9,205.2,177.9,1768.3,31.5,0.0,637.4,56.6,6576.6,0.0,14212.7,7636.0,48.9,42.6,Fraunhofer Energy-Charts
PL,2024-12-31 23:15:00+00:00,-252.6,-2069.2,100.5,180.1,1966.4,4878.4,203.1,177.4,1875.5,31.5,0.0,636.2,56.4,6548.7,0.0,14397.9,7849.2,48.0,41.5,Fraunhofer Energy-Charts
PL,2024-12-31 23:30:00+00:00,-445.3,-2069.2,99.9,184.6,1993.2,4986.6,203.7,176.7,1895.0,31.5,0.0,631.2,55.9,6258.7,0.0,14029.7,7771.0,47.3,40.1,Fraunhofer Energy-Charts
PL,2024-12-31 23:45:00+00:00,-646.4,-2069.2,100.5,184.9,1988.4,4998.3,202.7,176.1,1894.3,31.5,0.0,629.0,55.7,6398.3,0.0,14003.3,7604.9,48.4,40.6,Fraunhofer Energy-Charts
PL,2025-01-01 00:00:00+00:00,-643.6,-2065.5,100.4,185.8,2028.1,5339.6,204.3,177.2,2166.1,31.4,0.0,633.6,56.1,6386.1,0.0,14352.4,7966.3,47.1,39.1,Fraunhofer Energy-Charts
PL,2025-01-01 00:15:00+00:00,-507.9,-2065.5,100.4,185.1,1860.1,5209.8,202.8,176.3,2084.6,31.4,0.0,634.0,56.2,6572.3,0.0,14415.6,7843.3,48.2,40.6,Fraunhofer Energy-Charts
PL,2025-01-01 00:30:00+00:00,-508.1,-2065.5,100.3,182.9,1831.0,4998.8,204.3,176.6,2077.9,31.4,0.0,624.5,55.3,6581.1,0.0,14268.2,7687.2,48.7,41.2,Fraunhofer Energy-Charts
PL,2025-01-01 00:45:00+00:00,-507.0,-2065.5,100.7,186.2,1861.2,5025.9,204.5,179.0,1866.5,31.4,0.0,620.6,54.9,6588.2,0.0,14131.1,7542.9,49.3,41.6,Fraunhofer Energy-Charts
PL,2025-01-01 01:00:00+00:00,-508.2,-2549.3,100.4,185.7,2042.1,5177.0,203.1,176.8,2146.7,31.4,0.0,619.1,54.9,6451.2,0.0,13936.0,7484.8,49.0,39.7,Fraunhofer Energy-Charts
PL,2025-01-01 01:15:00+00:00,-508.6,-2549.3,100.1,183.9,1902.6,5252.2,204.7,178.2,2090.6,31.4,0.0,624.4,55.3,6438.1,0.0,13898.6,7460.4,49.0,39.9,Fraunhofer Energy-Charts
PL,2025-01-01 01:30:00+00:00,-508.9,-2549.3,100.0,185.1,1937.3,5139.7,205.8,175.6,2106.2,31.4,0.0,623.8,55.2,6282.3,0.0,13697.0,7414.7,48.6,39.5,Fraunhofer Energy-Charts
PL,2025-01-01 01:45:00+00:00,-507.9,-2549.3,100.4,186.3,1912.7,5073.6,203.7,175.5,2045.8,31.4,0.0,623.5,55.2,6488.5,0.0,13732.6,7244.1,50.0,40.6,Fraunhofer Energy-Charts
PL,2025-01-01 02:00:00+00:00,-507.4,-2974.0,100.2,186.8,2017.3,5405.8,203.6,177.3,2186.7,31.4,0.0,621.7,55.1,6112.3,0.0,13546.2,7433.9,47.9,37.9,Fraunhofer Energy-Charts
PL,2025-01-01 02:15:00+00:00,-508.2,-2974.0,100.5,186.5,1888.2,5346.2,204.4,178.8,2081.2,31.4,0.0,624.8,55.3,6114.0,0.0,13423.9,7309.9,48.3,38.6,Fraunhofer Energy-Charts
PL,2025-01-01 02:30:00+00:00,-410.7,-2974.0,100.2,184.8,1819.9,5182.9,203.2,177.8,2113.7,31.4,0.0,622.8,55.1,6189.0,0.0,13323.5,7134.5,49.2,39.3,Fraunhofer Energy-Charts
PL,2025-01-01 02:45:00+00:00,-372.9,-2974.0,100.1,185.0,1873.1,4978.1,203.2,177.9,2130.3,31.4,0.0,625.0,55.3,6080.8,0.0,13230.7,7149.9,48.8,39.2,Fraunhofer Energy-Charts
PL,2025-01-01 03:00:00+00:00,-373.4,-2834.0,100.1,185.1,2066.4,5182.0,203.2,177.5,2104.8,31.4,133.2,619.8,54.8,5508.8,0.0,13221.6,7712.9,44.5,36.2,Fraunhofer Energy-Charts
PL,2025-01-01 03:15:00+00:00,-374.9,-2834.0,100.3,186.2,2071.9,5275.3,202.7,179.2,2146.7,31.4,134.0,620.5,54.9,5349.3,0.0,13199.2,7849.9,43.4,35.3,Fraunhofer Energy-Charts
PL,2025-01-01 03:30:00+00:00,-378.5,-2834.0,100.4,186.2,2078.9,5263.7,201.4,179.8,2109.8,31.4,133.2,623.8,55.2,5460.0,0.0,13180.6,7720.5,44.3,35.8,Fraunhofer Energy-Charts
PL,2025-01-01 03:45:00+00:00,-376.0,-2834.0,100.1,183.5,2109.3,5197.2,203.8,179.2,2111.5,31.4,133.2,623.1,55.1,5448.8,0.0,13196.9,7748.0,44.1,35.8,Fraunhofer Energy-Charts
PL,2025-01-01 04:00:00+00:00,-379.8,-3064.0,99.9,182.9,2097.2,5370.8,203.7,179.0,2138.2,31.4,98.0,623.1,55.2,5412.5,0.0,13208.8,7796.3,43.8,35.3,Fraunhofer Energy-Charts
