zone,timestamp_utc,price_eur_mwh,source
BE,2024-12-31 23:00:00+00:00,10.62,Fraunhofer Energy-Charts
BE,2025-01-01 00:00:00+00:00,10.27,Fraunhofer Energy-Charts
BE,2025-01-01 01:00:00+00:00,8.38,Fraunhofer Energy-Charts
BE,2025-01-01 02:00:00+00:00,6.61,Fraunhofer Energy-Charts
BE,2025-01-01 03:00:00+00:00,2.29,Fraunhofer Energy-Charts
BE,2025-01-01 04:00:00+00:00,3.01,Fraunhofer Energy-Charts
BE,2025-01-01 05:00:00+00:00,3.52,Fraunhofer Energy-Charts
BE,2025-01-01 06:00:00+00:00,2.55,Fraunhofer Energy-Charts
BE,2025-01-01 07:00:00+00:00,4.24,Fraunhofer Energy-Charts
BE,2025-01-01 08:00:00+00:00,7.5,Fraunhofer Energy-Charts
BE,2025-01-01 09:00:00+00:00,15.91,Fraunhofer Energy-Charts
BE,2025-01-01 10:00:00+00:00,20.59,Fraunhofer Energy-Charts
BE,2025-01-01 11:00:00+00:00,29.94,Fraunhofer Energy-Charts
BE,2025-01-01 12:00:00+00:00,37.14,Fraunhofer Energy-Charts
BE,2025-01-01 13:00:00+00:00,26.32,Fraunhofer Energy-Charts
BE,2025-01-01 14:00:00+00:00,22.1,Fraunhofer Energy-Charts
BE,2025-01-01 15:00:00+00:00,19.28,Fraunhofer Energy-Charts
BE,2025-01-01 16:00:00+00:00,41.92,Fraunhofer Energy-Charts
BE,2025-01-01 17:00:00+00:00,57.95,Fraunhofer Energy-Charts
BE,2025-01-01 18:00:00+00:00,59.23,Fraunhofer Energy-Charts
BE,2025-01-01 19:00:00+00:00,45.86,Fraunhofer Energy-Charts
BE,2025-01-01 20:00:00+00:00,38.46,Fraunhofer Energy-Charts
BE,2025-01-01 21:00:00+00:00,32.07,Fraunhofer Energy-Charts
BE,2025-01-01 22:00:00+00:00,25.49,Fraunhofer Energy-Charts
BE,2025-01-01 23:00:00+00:00,46.42,Fraunhofer Energy-Charts
BE,2025-01-02 00:00:00+00:00,61.27,Fraunhofer Energy-Charts
BE,2025-01-02 01:00:00+00:00,62.37,Fraunhofer Energy-Charts
BE,2025-01-02 02:00:00+00:00,59.83,Fraunhofer Energy-Charts
BE,2025-01-02 03:00:00+00:00,52.61,Fraunhofer Energy-Charts
BE,2025-01-02 04:00:00+00:00,61.63,Fraunhofer Energy-Charts
BE,2025-01-02 05:00:00+00:00,103.55,Fraunhofer Energy-Charts
BE,2025-01-02 06:00:00+00:00,129.62,Fraunhofer Energy-Charts
BE,2025-01-02 07:00:00+00:00,142.71,Fraunhofer Energy-Charts
BE,2025-01-02 08:00:00+00:00,141.4,Fraunhofer Energy-Charts
BE,2025-01-02 09:00:00+00:00,130.25,Fraunhofer Energy-Charts
BE,2025-01-02 10:00:00+00:00,130.6,Fraunhofer Energy-Charts
BE,2025-01-02 11:00:00+00:00,133.89,Fraunhofer Energy-Charts
BE,2025-01-02 12:00:00+00:00,124.11,Fraunhofer Energy-Charts
BE,2025-01-02 13:00:00+00:00,126.45,Fraunhofer Energy-Charts
BE,2025-01-02 14:00:00+00:00,130.11,Fraunhofer Energy-Charts
BE,2025-01-02 15:00:00+00:00,139.04,Fraunhofer Energy-Charts
BE,2025-01-02 16:00:00+00:00,153.13,Fraunhofer Energy-Charts
BE,2025-01-02 17:00:00+00:00,153.04,Fraunhofer Energy-Charts
BE,2025-01-02 18:00:00+00:00,153.06,Fraunhofer Energy-Charts
BE,2025-01-02 19:00:00+00:00,131.07,Fraunhofer Energy-Charts
BE,2025-01-02 20:00:00+00:00,120.23,Fraunhofer Energy-Charts
BE,2025-01-02 21:00:00+00:00,117.97,Fraunhofer Energy-Charts
BE,2025-01-02 22:00:00+00:00,112.03,Fraunhofer Energy-Charts
BE,2025-01-02 23:00:00+00:00,105.68,Fraunhofer Energy-Charts
BE,2025-01-03 00:00:00+00:00,98.54,Fraunhofer Energy-Charts
BE,2025-01-03 01:00:00+00:00,92.04,Fraunhofer Energy-Charts
BE,2025-01-03 02:00:00+00:00,89.37,Fraunhofer Energy-Charts
BE,2025-01-03 03:00:00+00:00,80.99,Fraunhofer Energy-Charts
BE,2025-01-03 04:00:00+00:00,99.97,Fraunhofer Energy-Charts
BE,2025-01-03 05:00:00+00:00,108.81,Fraunhofer Energy-Charts
BE,2025-01-03 06:00:00+00:00,113.19,Fraunhofer Energy-Charts
BE,2025-01-03 07:00:00+00:00,117.0,Fraunhofer Energy-Charts
BE,2025-01-03 08:00:00+00:00,147.51,Fraunhofer Energy-Charts
BE,2025-01-03 09:00:00+00:00,145.19,Fraunhofer Energy-Charts
BE,2025-01-03 10:00:00+00:00,101.44,Fraunhofer Energy-Charts
BE,2025-01-03 11:00:00+00:00,95.63,Fraunhofer Energy-Charts
BE,2025-01-03 12:00:00+00:00,97.72,Fraunhofer Energy-Charts
BE,2025-01-03 13:00:00+00:00,101.95,Fraunhofer Energy-Charts
BE,2025-01-03 14:00:00+00:00,119.96,Fraunhofer Energy-Charts
BE,2025-01-03 15:00:00+00:00,133.32,Fraunhofer Energy-Charts
BE,2025-01-03 16:00:00+00:00,158.28,Fraunhofer Energy-Charts
BE,2025-01-03 17:00:00+00:00,166.95,Fraunhofer Energy-Charts
BE,2025-01-03 18:00:00+00:00,161.94,Fraunhofer Energy-Charts
BE,2025-01-03 19:00:00+00:00,147.31,Fraunhofer Energy-Charts
BE,2025-01-03 20:00:00+00:00,124.91,Fraunhofer Energy-Charts
BE,2025-01-03 21:00:00+00:00,138.25,Fraunhofer Energy-Charts
BE,2025-01-03 22:00:00+00:00,136.75,Fraunhofer Energy-Charts
