zone,timestamp_utc,price_eur_mwh,source
FR,2024-12-31 23:00:00+00:00,12.36,Fraunhofer Energy-Charts
FR,2025-01-01 00:00:00+00:00,18.92,Fraunhofer Energy-Charts
FR,2025-01-01 01:00:00+00:00,16.66,Fraunhofer Energy-Charts
FR,2025-01-01 02:00:00+00:00,13.1,Fraunhofer Energy-Charts
FR,2025-01-01 03:00:00+00:00,5.9,Fraunhofer Energy-Charts
FR,2025-01-01 04:00:00+00:00,9.27,Fraunhofer Energy-Charts
FR,2025-01-01 05:00:00+00:00,10.04,Fraunhofer Energy-Charts
FR,2025-01-01 06:00:00+00:00,7.23,Fraunhofer Energy-Charts
FR,2025-01-01 07:00:00+00:00,12.83,Fraunhofer Energy-Charts
FR,2025-01-01 08:00:00+00:00,13.76,Fraunhofer Energy-Charts
FR,2025-01-01 09:00:00+00:00,17.95,Fraunhofer Energy-Charts
FR,2025-01-01 10:00:00+00:00,20.59,Fraunhofer Energy-Charts
FR,2025-01-01 11:00:00+00:00,28.11,Fraunhofer Energy-Charts
FR,2025-01-01 12:00:00+00:00,30.0,Fraunhofer Energy-Charts
FR,2025-01-01 13:00:00+00:00,21.5,Fraunhofer Energy-Charts
FR,2025-01-01 14:00:00+00:00,10.68,Fraunhofer Energy-Charts
FR,2025-01-01 15:00:00+00:00,20.18,Fraunhofer Energy-Charts
FR,2025-01-01 16:00:00+00:00,35.72,Fraunhofer Energy-Charts
FR,2025-01-01 17:00:00+00:00,48.06,Fraunhofer Energy-Charts
FR,2025-01-01 18:00:00+00:00,50.14,Fraunhofer Energy-Charts
FR,2025-01-01 19:00:00+00:00,41.5,Fraunhofer Energy-Charts
FR,2025-01-01 20:00:00+00:00,34.93,Fraunhofer Energy-Charts
FR,2025-01-01 21:00:00+00:00,34.69,Fraunhofer Energy-Charts
FR,2025-01-01 22:00:00+00:00,28.04,Fraunhofer Energy-Charts
FR,2025-01-01 23:00:00+00:00,39.84,Fraunhofer Energy-Charts
FR,2025-01-02 00:00:00+00:00,44.1,Fraunhofer Energy-Charts
FR,2025-01-02 01:00:00+00:00,44.7,Fraunhofer Energy-Charts
FR,2025-01-02 02:00:00+00:00,42.92,Fraunhofer Energy-Charts
FR,2025-01-02 03:00:00+00:00,40.15,Fraunhofer Energy-Charts
FR,2025-01-02 04:00:00+00:00,52.51,Fraunhofer Energy-Charts
FR,2025-01-02 05:00:00+00:00,93.3,Fraunhofer Energy-Charts
FR,2025-01-02 06:00:00+00:00,120.03,Fraunhofer Energy-Charts
FR,2025-01-02 07:00:00+00:00,135.52,Fraunhofer Energy-Charts
FR,2025-01-02 08:00:00+00:00,136.48,Fraunhofer Energy-Charts
FR,2025-01-02 09:00:00+00:00,129.04,Fraunhofer Energy-Charts
FR,2025-01-02 10:00:00+00:00,125.7,Fraunhofer Energy-Charts
FR,2025-01-02 11:00:00+00:00,125.72,Fraunhofer Energy-Charts
FR,2025-01-02 12:00:00+00:00,119.3,Fraunhofer Energy-Charts
FR,2025-01-02 13:00:00+00:00,124.65,Fraunhofer Energy-Charts
FR,2025-01-02 14:00:00+00:00,130.11,Fraunhofer Energy-Charts
FR,2025-01-02 15:00:00+00:00,139.5,Fraunhofer Energy-Charts
FR,2025-01-02 16:00:00+00:00,153.4,Fraunhofer Energy-Charts
FR,2025-01-02 17:00:00+00:00,153.15,Fraunhofer Energy-Charts
FR,2025-01-02 18:00:00+00:00,146.66,Fraunhofer Energy-Charts
FR,2025-01-02 19:00:00+00:00,130.6,Fraunhofer Energy-Charts
FR,2025-01-02 20:00:00+00:00,120.62,Fraunhofer Energy-Charts
FR,2025-01-02 21:00:00+00:00,117.89,Fraunhofer Energy-Charts
FR,2025-01-02 22:00:00+00:00,118.56,Fraunhofer Energy-Charts
FR,2025-01-02 23:00:00+00:00,103.88,Fraunhofer Energy-Charts
FR,2025-01-03 00:00:00+00:00,95.18,Fraunhofer Energy-Charts
FR,2025-01-03 01:00:00+00:00,89.94,Fraunhofer Energy-Charts
FR,2025-01-03 02:00:00+00:00,87.67,Fraunhofer Energy-Charts
FR,2025-01-03 03:00:00+00:00,84.06,Fraunhofer Energy-Charts
FR,2025-01-03 04:00:00+00:00,92.25,Fraunhofer Energy-Charts
FR,2025-01-03 05:00:00+00:00,100.14,Fraunhofer Energy-Charts
FR,2025-01-03 06:00:00+00:00,119.27,Fraunhofer Energy-Charts
FR,2025-01-03 07:00:00+00:00,127.28,Fraunhofer Energy-Charts
FR,2025-01-03 08:00:00+00:00,132.97,Fraunhofer Energy-Charts
FR,2025-01-03 09:00:00+00:00,130.52,Fraunhofer Energy-Charts
FR,2025-01-03 10:00:00+00:00,123.2,Fraunhofer Energy-Charts
FR,2025-01-03 11:00:00+00:00,113.51,Fraunhofer Energy-Charts
FR,2025-01-03 12:00:00+00:00,107.6,Fraunhofer Energy-Charts
FR,2025-01-03 13:00:00+00:00,105.88,Fraunhofer Energy-Charts
FR,2025-01-03 14:00:00+00:00,110.22,Fraunhofer Energy-Charts
FR,2025-01-03 15:00:00+00:00,123.2,Fraunhofer Energy-Charts
FR,2025-01-03 16:00:00+00:00,141.2,Fraunhofer Energy-Charts
FR,2025-01-03 17:00:00+00:00,144.48,Fraunhofer Energy-Charts
FR,2025-01-03 18:00:00+00:00,141.43,Fraunhofer Energy-Charts
FR,2025-01-03 19:00:00+00:00,133.2,Fraunhofer Energy-Charts
FR,2025-01-03 20:00:00+00:00,119.9,Fraunhofer Energy-Charts
FR,2025-01-03 21:00:00+00:00,123.58,Fraunhofer Energy-Charts
FR,2025-01-03 22:00:00+00:00,126.09,Fraunhofer Energy-Charts
