zone,timestamp_utc,price_eur_mwh,source
NL,2024-12-31 23:00:00+00:00,13.62,Fraunhofer Energy-Charts
NL,2025-01-01 00:00:00+00:00,6.24,Fraunhofer Energy-Charts
NL,2025-01-01 01:00:00+00:00,4.16,Fraunhofer Energy-Charts
NL,2025-01-01 02:00:00+00:00,3.28,Fraunhofer Energy-Charts
NL,2025-01-01 03:00:00+00:00,0.68,Fraunhofer Energy-Charts
NL,2025-01-01 04:00:00+00:00,0.0,Fraunhofer Energy-Charts
NL,2025-01-01 05:00:00+00:00,0.76,Fraunhofer Energy-Charts
NL,2025-01-01 06:00:00+00:00,0.79,Fraunhofer Energy-Charts
NL,2025-01-01 07:00:00+00:00,1.89,Fraunhofer Energy-Charts
NL,2025-01-01 08:00:00+00:00,7.5,Fraunhofer Energy-Charts
NL,2025-01-01 09:00:00+00:00,27.32,Fraunhofer Energy-Charts
NL,2025-01-01 10:00:00+00:00,37.49,Fraunhofer Energy-Charts
NL,2025-01-01 11:00:00+00:00,60.1,Fraunhofer Energy-Charts
NL,2025-01-01 12:00:00+00:00,63.32,Fraunhofer Energy-Charts
NL,2025-01-01 13:00:00+00:00,47.0,Fraunhofer Energy-Charts
NL,2025-01-01 14:00:00+00:00,50.1,Fraunhofer Energy-Charts
NL,2025-01-01 15:00:00+00:00,27.64,Fraunhofer Energy-Charts
NL,2025-01-01 16:00:00+00:00,79.97,Fraunhofer Energy-Charts
NL,2025-01-01 17:00:00+00:00,95.0,Fraunhofer Energy-Charts
NL,2025-01-01 18:00:00+00:00,95.0,Fraunhofer Energy-Charts
NL,2025-01-01 19:00:00+00:00,81.49,Fraunhofer Energy-Charts
NL,2025-01-01 20:00:00+00:00,68.96,Fraunhofer Energy-Charts
NL,2025-01-01 21:00:00+00:00,46.37,Fraunhofer Energy-Charts
NL,2025-01-01 22:00:00+00:00,38.0,Fraunhofer Energy-Charts
NL,2025-01-01 23:00:00+00:00,101.94,Fraunhofer Energy-Charts
NL,2025-01-02 00:00:00+00:00,146.95,Fraunhofer Energy-Charts
NL,2025-01-02 01:00:00+00:00,148.44,Fraunhofer Energy-Charts
NL,2025-01-02 02:00:00+00:00,138.0,Fraunhofer Energy-Charts
NL,2025-01-02 03:00:00+00:00,100.1,Fraunhofer Energy-Charts
NL,2025-01-02 04:00:00+00:00,107.47,Fraunhofer Energy-Charts
NL,2025-01-02 05:00:00+00:00,154.68,Fraunhofer Energy-Charts
NL,2025-01-02 06:00:00+00:00,174.7,Fraunhofer Energy-Charts
NL,2025-01-02 07:00:00+00:00,175.07,Fraunhofer Energy-Charts
NL,2025-01-02 08:00:00+00:00,165.37,Fraunhofer Energy-Charts
NL,2025-01-02 09:00:00+00:00,136.0,Fraunhofer Energy-Charts
NL,2025-01-02 10:00:00+00:00,111.93,Fraunhofer Energy-Charts
NL,2025-01-02 11:00:00+00:00,101.52,Fraunhofer Energy-Charts
NL,2025-01-02 12:00:00+00:00,105.6,Fraunhofer Energy-Charts
NL,2025-01-02 13:00:00+00:00,118.95,Fraunhofer Energy-Charts
NL,2025-01-02 14:00:00+00:00,130.11,Fraunhofer Energy-Charts
NL,2025-01-02 15:00:00+00:00,138.81,Fraunhofer Energy-Charts
NL,2025-01-02 16:00:00+00:00,153.0,Fraunhofer Energy-Charts
NL,2025-01-02 17:00:00+00:00,152.99,Fraunhofer Energy-Charts
NL,2025-01-02 18:00:00+00:00,128.0,Fraunhofer Energy-Charts
NL,2025-01-02 19:00:00+00:00,129.17,Fraunhofer Energy-Charts
NL,2025-01-02 20:00:00+00:00,120.0,Fraunhofer Energy-Charts
NL,2025-01-02 21:00:00+00:00,119.9,Fraunhofer Energy-Charts
NL,2025-01-02 22:00:00+00:00,116.07,Fraunhofer Energy-Charts
NL,2025-01-02 23:00:00+00:00,114.32,Fraunhofer Energy-Charts
