zone,timestamp_utc,price_eur_mwh,source
PL,2024-12-31 23:00:00+00:00,15.41,Fraunhofer Energy-Charts
PL,2025-01-01 00:00:00+00:00,2.19,Fraunhofer Energy-Charts
PL,2025-01-01 01:00:00+00:00,2.18,Fraunhofer Energy-Charts
PL,2025-01-01 02:00:00+00:00,1.69,Fraunhofer Energy-Charts
PL,2025-01-01 03:00:00+00:00,0.09,Fraunhofer Energy-Charts
PL,2025-01-01 04:00:00+00:00,1.16,Fraunhofer Energy-Charts
PL,2025-01-01 05:00:00+00:00,0.04,Fraunhofer Energy-Charts
PL,2025-01-01 06:00:00+00:00,0.08,Fraunhofer Energy-Charts
PL,2025-01-01 07:00:00+00:00,-4.94,Fraunhofer Energy-Charts
PL,2025-01-01 08:00:00+00:00,-50.26,Fraunhofer Energy-Charts
PL,2025-01-01 09:00:00+00:00,-72.99,Fraunhofer Energy-Charts
PL,2025-01-01 10:00:00+00:00,-59.57,Fraunhofer Energy-Charts
PL,2025-01-01 11:00:00+00:00,-48.26,Fraunhofer Energy-Charts
PL,2025-01-01 12:00:00+00:00,-4.94,Fraunhofer Energy-Charts
PL,2025-01-01 13:00:00+00:00,0.13,Fraunhofer Energy-Charts
PL,2025-01-01 14:00:00+00:00,23.25,Fraunhofer Energy-Charts
PL,2025-01-01 15:00:00+00:00,45.19,Fraunhofer Energy-Charts
PL,2025-01-01 16:00:00+00:00,47.03,Fraunhofer Energy-Charts
PL,2025-01-01 17:00:00+00:00,41.76,Fraunhofer Energy-Charts
PL,2025-01-01 18:00:00+00:00,39.38,Fraunhofer Energy-Charts
PL,2025-01-01 19:00:00+00:00,34.63,Fraunhofer Energy-Charts
PL,2025-01-01 20:00:00+00:00,13.82,Fraunhofer Energy-Charts
PL,2025-01-01 21:00:00+00:00,9.71,Fraunhofer Energy-Charts
PL,2025-01-01 22:00:00+00:00,0.04,Fraunhofer Energy-Charts
PL,2025-01-01 23:00:00+00:00,-15.12,Fraunhofer Energy-Charts
PL,2025-01-02 00:00:00+00:00,-8.43,Fraunhofer Energy-Charts
PL,2025-01-02 01:00:00+00:00,-21.04,Fraunhofer Energy-Charts
PL,2025-01-02 02:00:00+00:00,-10.56,Fraunhofer Energy-Charts
PL,2025-01-02 03:00:00+00:00,-10.68,Fraunhofer Energy-Charts
PL,2025-01-02 04:00:00+00:00,0.05,Fraunhofer Energy-Charts
PL,2025-01-02 05:00:00+00:00,40.08,Fraunhofer Energy-Charts
PL,2025-01-02 06:00:00+00:00,93.73,Fraunhofer Energy-Charts
PL,2025-01-02 07:00:00+00:00,107.61,Fraunhofer Energy-Charts
PL,2025-01-02 08:00:00+00:00,114.93,Fraunhofer Energy-Charts
PL,2025-01-02 09:00:00+00:00,119.79,Fraunhofer Energy-Charts
PL,2025-01-02 10:00:00+00:00,110.47,Fraunhofer Energy-Charts
PL,2025-01-02 11:00:00+00:00,96.95,Fraunhofer Energy-Charts
PL,2025-01-02 12:00:00+00:00,108.02,Fraunhofer Energy-Charts
PL,2025-01-02 13:00:00+00:00,113.55,Fraunhofer Energy-Charts
PL,2025-01-02 14:00:00+00:00,130.11,Fraunhofer Energy-Charts
PL,2025-01-02 15:00:00+00:00,136.43,Fraunhofer Energy-Charts
PL,2025-01-02 16:00:00+00:00,151.99,Fraunhofer Energy-Charts
PL,2025-01-02 17:00:00+00:00,152.6,Fraunhofer Energy-Charts
PL,2025-01-02 18:00:00+00:00,139.06,Fraunhofer Energy-Charts
PL,2025-01-02 19:00:00+00:00,128.74,Fraunhofer Energy-Charts
PL,2025-01-02 20:00:00+00:00,100.91,Fraunhofer Energy-Charts
PL,2025-01-02 21:00:00+00:00,101.27,Fraunhofer Energy-Charts
PL,2025-01-02 22:00:00+00:00,74.79,Fraunhofer Energy-Charts
PL,2025-01-02 23:00:00+00:00,89.13,Fraunhofer Energy-Charts
PL,2025-01-03 00:00:00+00:00,68.97,Fraunhofer Energy-Charts
PL,2025-01-03 01:00:00+00:00,73.07,Fraunhofer Energy-Charts
PL,2025-01-03 02:00:00+00:00,74.27,Fraunhofer Energy-Charts
