zone,price_eur_mwh,timestamp_utc,source
BE,10.27,2025-01-01 00:00:00+00:00,SMARD / Bundesnetzagentur
BE,8.38,2025-01-01 01:00:00+00:00,SMARD / Bundesnetzagentur
BE,6.61,2025-01-01 02:00:00+00:00,SMARD / Bundesnetzagentur
BE,2.29,2025-01-01 03:00:00+00:00,SMARD / Bundesnetzagentur
BE,3.01,2025-01-01 04:00:00+00:00,SMARD / Bundesnetzagentur
BE,3.52,2025-01-01 05:00:00+00:00,SMARD / Bundesnetzagentur
BE,2.55,2025-01-01 06:00:00+00:00,SMARD / Bundesnetzagentur
BE,4.24,2025-01-01 07:00:00+00:00,SMARD / Bundesnetzagentur
BE,7.5,2025-01-01 08:00:00+00:00,SMARD / Bundesnetzagentur
BE,15.91,2025-01-01 09:00:00+00:00,SMARD / Bundesnetzagentur
BE,20.59,2025-01-01 10:00:00+00:00,SMARD / Bundesnetzagentur
BE,29.94,2025-01-01 11:00:00+00:00,SMARD / Bundesnetzagentur
BE,37.14,2025-01-01 12:00:00+00:00,SMARD / Bundesnetzagentur
BE,26.32,2025-01-01 13:00:00+00:00,SMARD / Bundesnetzagentur
BE,22.1,2025-01-01 14:00:00+00:00,SMARD / Bundesnetzagentur
BE,19.28,2025-01-01 15:00:00+00:00,SMARD / Bundesnetzagentur
BE,41.92,2025-01-01 16:00:00+00:00,SMARD / Bundesnetzagentur
BE,57.95,2025-01-01 17:00:00+00:00,SMARD / Bundesnetzagentur
BE,59.23,2025-01-01 18:00:00+00:00,SMARD / Bundesnetzagentur
BE,45.86,2025-01-01 19:00:00+00:00,SMARD / Bundesnetzagentur
BE,38.46,2025-01-01 20:00:00+00:00,SMARD / Bundesnetzagentur
BE,32.07,2025-01-01 21:00:00+00:00,SMARD / Bundesnetzagentur
BE,25.49,2025-01-01 22:00:00+00:00,SMARD / Bundesnetzagentur
BE,46.42,2025-01-01 23:00:00+00:00,SMARD / Bundesnetzagentur
BE,61.27,2025-01-02 00:00:00+00:00,SMARD / Bundesnetzagentur
BE,62.37,2025-01-02 01:00:00+00:00,SMARD / Bundesnetzagentur
BE,59.83,2025-01-02 02:00:00+00:00,SMARD / Bundesnetzagentur
BE,52.61,2025-01-02 03:00:00+00:00,SMARD / Bundesnetzagentur
BE,61.63,2025-01-02 04:00:00+00:00,SMARD / Bundesnetzagentur
BE,103.55,2025-01-02 05:00:00+00:00,SMARD / Bundesnetzagentur
BE,129.62,2025-01-02 06:00:00+00:00,SMARD / Bundesnetzagentur
BE,142.71,2025-01-02 07:00:00+00:00,SMARD / Bundesnetzagentur
BE,141.4,2025-01-02 08:00:00+00:00,SMARD / Bundesnetzagentur
BE,130.25,2025-01-02 09:00:00+00:00,SMARD / Bundesnetzagentur
BE,130.6,2025-01-02 10:00:00+00:00,SMARD / Bundesnetzagentur
BE,133.89,2025-01-02 11:00:00+00:00,SMARD / Bundesnetzagentur
BE,124.11,2025-01-02 12:00:00+00:00,SMARD / Bundesnetzagentur
BE,126.45,2025-01-02 13:00:00+00:00,SMARD / Bundesnetzagentur
BE,130.11,2025-01-02 14:00:00+00:00,SMARD / Bundesnetzagentur
BE,139.04,2025-01-02 15:00:00+00:00,SMARD / Bundesnetzagentur
BE,153.13,2025-01-02 16:00:00+00:00,SMARD / Bundesnetzagentur
BE,153.04,2025-01-02 17:00:00+00:00,SMARD / Bundesnetzagentur
BE,153.06,2025-01-02 18:00:00+00:00,SMARD / Bundesnetzagentur
BE,131.07,2025-01-02 19:00:00+00:00,SMARD / Bundesnetzagentur
BE,120.23,2025-01-02 20:00:00+00:00,SMARD / Bundesnetzagentur
BE,117.97,2025-01-02 21:00:00+00:00,SMARD / Bundesnetzagentur
BE,112.03,2025-01-02 22:00:00+00:00,SMARD / Bundesnetzagentur
BE,105.68,2025-01-02 23:00:00+00:00,SMARD / Bundesnetzagentur
BE,98.54,2025-01-03 00:00:00+00:00,SMARD / Bundesnetzagentur
BE,92.04,2025-01-03 01:00:00+00:00,SMARD / Bundesnetzagentur
BE,89.37,2025-01-03 02:00:00+00:00,SMARD / Bundesnetzagentur
BE,80.99,2025-01-03 03:00:00+00:00,SMARD / Bundesnetzagentur
BE,99.97,2025-01-03 04:00:00+00:00,SMARD / Bundesnetzagentur
BE,108.81,2025-01-03 05:00:00+00:00,SMARD / Bundesnetzagentur
BE,113.19,2025-01-03 06:00:00+00:00,SMARD / Bundesnetzagentur
BE,117.0,2025-01-03 07:00:00+00:00,SMARD / Bundesnetzagentur
BE,147.51,2025-01-03 08:00:00+00:00,SMARD / Bundesnetzagentur
BE,145.19,2025-01-03 09:00:00+00:00,SMARD / Bundesnetzagentur
BE,101.44,2025-01-03 10:00:00+00:00,SMARD / Bundesnetzagentur
BE,95.63,2025-01-03 11:00:00+00:00,SMARD / Bundesnetzagentur
BE,97.72,2025-01-03 12:00:00+00:00,SMARD / Bundesnetzagentur
BE,101.95,2025-01-03 13:00:00+00:00,SMARD / Bundesnetzagentur
BE,119.96,2025-01-03 14:00:00+00:00,SMARD / Bundesnetzagentur
BE,133.32,2025-01-03 15:00:00+00:00,SMARD / Bundesnetzagentur
BE,158.28,2025-01-03 16:00:00+00:00,SMARD / Bundesnetzagentur
BE,166.95,2025-01-03 17:00:00+00:00,SMARD / Bundesnetzagentur
BE,161.94,2025-01-03 18:00:00+00:00,SMARD / Bundesnetzagentur
BE,147.31,2025-01-03 19:00:00+00:00,SMARD / Bundesnetzagentur
BE,124.91,2025-01-03 20:00:00+00:00,SMARD / Bundesnetzagentur
BE,138.25,2025-01-03 21:00:00+00:00,SMARD / Bundesnetzagentur
BE,136.75,2025-01-03 22:00:00+00:00,SMARD / Bundesnetzagentur
BE,115.0,2025-01-03 23:00:00+00:00,SMARD / Bundesnetzagentur
