zone,price_eur_mwh,timestamp_utc,source
CZ,70.5,2025-01-01 00:00:00+00:00,SMARD / Bundesnetzagentur
CZ,71.07,2025-01-01 01:00:00+00:00,SMARD / Bundesnetzagentur
CZ,60.45,2025-01-01 02:00:00+00:00,SMARD / Bundesnetzagentur
CZ,60.01,2025-01-01 03:00:00+00:00,SMARD / Bundesnetzagentur
CZ,60.01,2025-01-01 04:00:00+00:00,SMARD / Bundesnetzagentur
CZ,44.06,2025-01-01 05:00:00+00:00,SMARD / Bundesnetzagentur
CZ,17.0,2025-01-01 06:00:00+00:00,SMARD / Bundesnetzagentur
CZ,18.94,2025-01-01 07:00:00+00:00,SMARD / Bundesnetzagentur
CZ,26.27,2025-01-01 08:00:00+00:00,SMARD / Bundesnetzagentur
CZ,13.0,2025-01-01 09:00:00+00:00,SMARD / Bundesnetzagentur
CZ,17.0,2025-01-01 10:00:00+00:00,SMARD / Bundesnetzagentur
CZ,13.62,2025-01-01 11:00:00+00:00,SMARD / Bundesnetzagentur
CZ,23.0,2025-01-01 12:00:00+00:00,SMARD / Bundesnetzagentur
CZ,27.55,2025-01-01 13:00:00+00:00,SMARD / Bundesnetzagentur
CZ,72.64,2025-01-01 14:00:00+00:00,SMARD / Bundesnetzagentur
CZ,110.0,2025-01-01 15:00:00+00:00,SMARD / Bundesnetzagentur
CZ,116.46,2025-01-01 16:00:00+00:00,SMARD / Bundesnetzagentur
CZ,125.98,2025-01-01 17:00:00+00:00,SMARD / Bundesnetzagentur
CZ,135.0,2025-01-01 18:00:00+00:00,SMARD / Bundesnetzagentur
CZ,130.75,2025-01-01 19:00:00+00:00,SMARD / Bundesnetzagentur
CZ,85.01,2025-01-01 20:00:00+00:00,SMARD / Bundesnetzagentur
CZ,93.24,2025-01-01 21:00:00+00:00,SMARD / Bundesnetzagentur
CZ,85.01,2025-01-01 22:00:00+00:00,SMARD / Bundesnetzagentur
CZ,69.86,2025-01-01 23:00:00+00:00,SMARD / Bundesnetzagentur
CZ,50.0,2025-01-02 00:00:00+00:00,SMARD / Bundesnetzagentur
CZ,50.01,2025-01-02 01:00:00+00:00,SMARD / Bundesnetzagentur
CZ,48.58,2025-01-02 02:00:00+00:00,SMARD / Bundesnetzagentur
CZ,50.01,2025-01-02 03:00:00+00:00,SMARD / Bundesnetzagentur
CZ,67.79,2025-01-02 04:00:00+00:00,SMARD / Bundesnetzagentur
CZ,86.9,2025-01-02 05:00:00+00:00,SMARD / Bundesnetzagentur
CZ,91.01,2025-01-02 06:00:00+00:00,SMARD / Bundesnetzagentur
CZ,130.0,2025-01-02 07:00:00+00:00,SMARD / Bundesnetzagentur
CZ,134.33,2025-01-02 08:00:00+00:00,SMARD / Bundesnetzagentur
CZ,129.72,2025-01-02 09:00:00+00:00,SMARD / Bundesnetzagentur
CZ,125.06,2025-01-02 10:00:00+00:00,SMARD / Bundesnetzagentur
CZ,127.43,2025-01-02 11:00:00+00:00,SMARD / Bundesnetzagentur
CZ,117.45,2025-01-02 12:00:00+00:00,SMARD / Bundesnetzagentur
CZ,126.36,2025-01-02 13:00:00+00:00,SMARD / Bundesnetzagentur
CZ,130.11,2025-01-02 14:00:00+00:00,SMARD / Bundesnetzagentur
CZ,134.44,2025-01-02 15:00:00+00:00,SMARD / Bundesnetzagentur
CZ,150.68,2025-01-02 16:00:00+00:00,SMARD / Bundesnetzagentur
CZ,152.08,2025-01-02 17:00:00+00:00,SMARD / Bundesnetzagentur
CZ,137.72,2025-01-02 18:00:00+00:00,SMARD / Bundesnetzagentur
CZ,130.2,2025-01-02 19:00:00+00:00,SMARD / Bundesnetzagentur
CZ,129.53,2025-01-02 20:00:00+00:00,SMARD / Bundesnetzagentur
CZ,119.11,2025-01-02 21:00:00+00:00,SMARD / Bundesnetzagentur
CZ,76.8,2025-01-02 22:00:00+00:00,SMARD / Bundesnetzagentur
CZ,106.05,2025-01-02 23:00:00+00:00,SMARD / Bundesnetzagentur
CZ,99.2,2025-01-03 00:00:00+00:00,SMARD / Bundesnetzagentur
CZ,92.53,2025-01-03 01:00:00+00:00,SMARD / Bundesnetzagentur
CZ,89.82,2025-01-03 02:00:00+00:00,SMARD / Bundesnetzagentur
CZ,91.07,2025-01-03 03:00:00+00:00,SMARD / Bundesnetzagentur
CZ,99.31,2025-01-03 04:00:00+00:00,SMARD / Bundesnetzagentur
CZ,121.4,2025-01-03 05:00:00+00:00,SMARD / Bundesnetzagentur
CZ,121.14,2025-01-03 06:00:00+00:00,SMARD / Bundesnetzagentur
CZ,131.7,2025-01-03 07:00:00+00:00,SMARD / Bundesnetzagentur
CZ,143.6,2025-01-03 08:00:00+00:00,SMARD / Bundesnetzagentur
CZ,150.0,2025-01-03 09:00:00+00:00,SMARD / Bundesnetzagentur
CZ,130.61,2025-01-03 10:00:00+00:00,SMARD / Bundesnetzagentur
CZ,130.8,2025-01-03 11:00:00+00:00,SMARD / Bundesnetzagentur
CZ,126.59,2025-01-03 12:00:00+00:00,SMARD / Bundesnetzagentur
CZ,128.9,2025-01-03 13:00:00+00:00,SMARD / Bundesnetzagentur
CZ,144.66,2025-01-03 14:00:00+00:00,SMARD / Bundesnetzagentur
CZ,100.0,2025-01-03 15:00:00+00:00,SMARD / Bundesnetzagentur
CZ,118.7,2025-01-03 16:00:00+00:00,SMARD / Bundesnetzagentur
CZ,112.31,2025-01-03 17:00:00+00:00,SMARD / Bundesnetzagentur
CZ,111.46,2025-01-03 18:00:00+00:00,SMARD / Bundesnetzagentur
CZ,124.68,2025-01-03 19:00:00+00:00,SMARD / Bundesnetzagentur
CZ,116.71,2025-01-03 20:00:00+00:00,SMARD / Bundesnetzagentur
CZ,98.12,2025-01-03 21:00:00+00:00,SMARD / Bundesnetzagentur
CZ,94.14,2025-01-03 22:00:00+00:00,SMARD / Bundesnetzagentur
CZ,108.14,2025-01-03 23:00:00+00:00,SMARD / Bundesnetzagentur
