zone,price_eur_mwh,timestamp_utc,source
FR,18.92,2025-01-01 00:00:00+00:00,SMARD / Bundesnetzagentur
FR,16.66,2025-01-01 01:00:00+00:00,SMARD / Bundesnetzagentur
FR,13.1,2025-01-01 02:00:00+00:00,SMARD / Bundesnetzagentur
FR,5.9,2025-01-01 03:00:00+00:00,SMARD / Bundesnetzagentur
FR,9.27,2025-01-01 04:00:00+00:00,SMARD / Bundesnetzagentur
FR,10.04,2025-01-01 05:00:00+00:00,SMARD / Bundesnetzagentur
FR,7.23,2025-01-01 06:00:00+00:00,SMARD / Bundesnetzagentur
FR,12.83,2025-01-01 07:00:00+00:00,SMARD / Bundesnetzagentur
FR,13.76,2025-01-01 08:00:00+00:00,SMARD / Bundesnetzagentur
FR,17.95,2025-01-01 09:00:00+00:00,SMARD / Bundesnetzagentur
FR,20.59,2025-01-01 10:00:00+00:00,SMARD / Bundesnetzagentur
FR,28.11,2025-01-01 11:00:00+00:00,SMARD / Bundesnetzagentur
FR,30.0,2025-01-01 12:00:00+00:00,SMARD / Bundesnetzagentur
FR,21.5,2025-01-01 13:00:00+00:00,SMARD / Bundesnetzagentur
FR,10.68,2025-01-01 14:00:00+00:00,SMARD / Bundesnetzagentur
FR,20.18,2025-01-01 15:00:00+00:00,SMARD / Bundesnetzagentur
FR,35.72,2025-01-01 16:00:00+00:00,SMARD / Bundesnetzagentur
FR,48.06,2025-01-01 17:00:00+00:00,SMARD / Bundesnetzagentur
FR,50.14,2025-01-01 18:00:00+00:00,SMARD / Bundesnetzagentur
FR,41.5,2025-01-01 19:00:00+00:00,SMARD / Bundesnetzagentur
FR,34.93,2025-01-01 20:00:00+00:00,SMARD / Bundesnetzagentur
FR,34.69,2025-01-01 21:00:00+00:00,SMARD / Bundesnetzagentur
FR,28.04,2025-01-01 22:00:00+00:00,SMARD / Bundesnetzagentur
FR,39.84,2025-01-01 23:00:00+00:00,SMARD / Bundesnetzagentur
FR,44.1,2025-01-02 00:00:00+00:00,SMARD / Bundesnetzagentur
FR,44.7,2025-01-02 01:00:00+00:00,SMARD / Bundesnetzagentur
FR,42.92,2025-01-02 02:00:00+00:00,SMARD / Bundesnetzagentur
FR,40.15,2025-01-02 03:00:00+00:00,SMARD / Bundesnetzagentur
FR,52.51,2025-01-02 04:00:00+00:00,SMARD / Bundesnetzagentur
FR,93.3,2025-01-02 05:00:00+00:00,SMARD / Bundesnetzagentur
FR,120.03,2025-01-02 06:00:00+00:00,SMARD / Bundesnetzagentur
FR,135.52,2025-01-02 07:00:00+00:00,SMARD / Bundesnetzagentur
FR,136.48,2025-01-02 08:00:00+00:00,SMARD / Bundesnetzagentur
FR,129.04,2025-01-02 09:00:00+00:00,SMARD / Bundesnetzagentur
FR,125.7,2025-01-02 10:00:00+00:00,SMARD / Bundesnetzagentur
FR,125.72,2025-01-02 11:00:00+00:00,SMARD / Bundesnetzagentur
FR,119.3,2025-01-02 12:00:00+00:00,SMARD / Bundesnetzagentur
FR,124.65,2025-01-02 13:00:00+00:00,SMARD / Bundesnetzagentur
FR,130.11,2025-01-02 14:00:00+00:00,SMARD / Bundesnetzagentur
FR,139.5,2025-01-02 15:00:00+00:00,SMARD / Bundesnetzagentur
FR,153.4,2025-01-02 16:00:00+00:00,SMARD / Bundesnetzagentur
FR,153.15,2025-01-02 17:00:00+00:00,SMARD / Bundesnetzagentur
FR,146.66,2025-01-02 18:00:00+00:00,SMARD / Bundesnetzagentur
FR,130.6,2025-01-02 19:00:00+00:00,SMARD / Bundesnetzagentur
FR,120.62,2025-01-02 20:00:00+00:00,SMARD / Bundesnetzagentur
FR,117.89,2025-01-02 21:00:00+00:00,SMARD / Bundesnetzagentur
FR,118.56,2025-01-02 22:00:00+00:00,SMARD / Bundesnetzagentur
FR,103.88,2025-01-02 23:00:00+00:00,SMARD / Bundesnetzagentur
FR,95.18,2025-01-03 00:00:00+00:00,SMARD / Bundesnetzagentur
FR,89.94,2025-01-03 01:00:00+00:00,SMARD / Bundesnetzagentur
FR,87.67,2025-01-03 02:00:00+00:00,SMARD / Bundesnetzagentur
FR,84.06,2025-01-03 03:00:00+00:00,SMARD / Bundesnetzagentur
FR,92.25,2025-01-03 04:00:00+00:00,SMARD / Bundesnetzagentur
FR,100.14,2025-01-03 05:00:00+00:00,SMARD / Bundesnetzagentur
FR,119.27,2025-01-03 06:00:00+00:00,SMARD / Bundesnetzagentur
FR,127.28,2025-01-03 07:00:00+00:00,SMARD / Bundesnetzagentur
FR,132.97,2025-01-03 08:00:00+00:00,SMARD / Bundesnetzagentur
FR,130.52,2025-01-03 09:00:00+00:00,SMARD / Bundesnetzagentur
FR,123.2,2025-01-03 10:00:00+00:00,SMARD / Bundesnetzagentur
FR,113.51,2025-01-03 11:00:00+00:00,SMARD / Bundesnetzagentur
FR,107.6,2025-01-03 12:00:00+00:00,SMARD / Bundesnetzagentur
FR,105.88,2025-01-03 13:00:00+00:00,SMARD / Bundesnetzagentur
FR,110.22,2025-01-03 14:00:00+00:00,SMARD / Bundesnetzagentur
FR,123.2,2025-01-03 15:00:00+00:00,SMARD / Bundesnetzagentur
FR,141.2,2025-01-03 16:00:00+00:00,SMARD / Bundesnetzagentur
FR,144.48,2025-01-03 17:00:00+00:00,SMARD / Bundesnetzagentur
FR,141.43,2025-01-03 18:00:00+00:00,SMARD / Bundesnetzagentur
FR,133.2,2025-01-03 19:00:00+00:00,SMARD / Bundesnetzagentur
FR,119.9,2025-01-03 20:00:00+00:00,SMARD / Bundesnetzagentur
FR,123.58,2025-01-03 21:00:00+00:00,SMARD / Bundesnetzagentur
FR,126.09,2025-01-03 22:00:00+00:00,SMARD / Bundesnetzagentur
FR,109.06,2025-01-03 23:00:00+00:00,SMARD / Bundesnetzagentur
