zone,price_eur_mwh,timestamp_utc,source
NL,6.24,2025-01-01 00:00:00+00:00,SMARD / Bundesnetzagentur
NL,4.16,2025-01-01 01:00:00+00:00,SMARD / Bundesnetzagentur
NL,3.28,2025-01-01 02:00:00+00:00,SMARD / Bundesnetzagentur
NL,0.68,2025-01-01 03:00:00+00:00,SMARD / Bundesnetzagentur
NL,0.0,2025-01-01 04:00:00+00:00,SMARD / Bundesnetzagentur
NL,0.76,2025-01-01 05:00:00+00:00,SMARD / Bundesnetzagentur
NL,0.79,2025-01-01 06:00:00+00:00,SMARD / Bundesnetzagentur
NL,1.89,2025-01-01 07:00:00+00:00,SMARD / Bundesnetzagentur
NL,7.5,2025-01-01 08:00:00+00:00,SMARD / Bundesnetzagentur
NL,27.32,2025-01-01 09:00:00+00:00,SMARD / Bundesnetzagentur
NL,37.49,2025-01-01 10:00:00+00:00,SMARD / Bundesnetzagentur
NL,60.1,2025-01-01 11:00:00+00:00,SMARD / Bundesnetzagentur
NL,63.32,2025-01-01 12:00:00+00:00,SMARD / Bundesnetzagentur
NL,47.0,2025-01-01 13:00:00+00:00,SMARD / Bundesnetzagentur
NL,50.1,2025-01-01 14:00:00+00:00,SMARD / Bundesnetzagentur
NL,27.64,2025-01-01 15:00:00+00:00,SMARD / Bundesnetzagentur
NL,79.97,2025-01-01 16:00:00+00:00,SMARD / Bundesnetzagentur
NL,95.0,2025-01-01 17:00:00+00:00,SMARD / Bundesnetzagentur
NL,95.0,2025-01-01 18:00:00+00:00,SMARD / Bundesnetzagentur
NL,81.49,2025-01-01 19:00:00+00:00,SMARD / Bundesnetzagentur
NL,68.96,2025-01-01 20:00:00+00:00,SMARD / Bundesnetzagentur
NL,46.37,2025-01-01 21:00:00+00:00,SMARD / Bundesnetzagentur
NL,38.0,2025-01-01 22:00:00+00:00,SMARD / Bundesnetzagentur
NL,101.94,2025-01-01 23:00:00+00:00,SMARD / Bundesnetzagentur
NL,146.95,2025-01-02 00:00:00+00:00,SMARD / Bundesnetzagentur
NL,148.44,2025-01-02 01:00:00+00:00,SMARD / Bundesnetzagentur
NL,138.0,2025-01-02 02:00:00+00:00,SMARD / Bundesnetzagentur
NL,100.1,2025-01-02 03:00:00+00:00,SMARD / Bundesnetzagentur
NL,107.47,2025-01-02 04:00:00+00:00,SMARD / Bundesnetzagentur
NL,154.68,2025-01-02 05:00:00+00:00,SMARD / Bundesnetzagentur
NL,174.7,2025-01-02 06:00:00+00:00,SMARD / Bundesnetzagentur
NL,175.07,2025-01-02 07:00:00+00:00,SMARD / Bundesnetzagentur
NL,165.37,2025-01-02 08:00:00+00:00,SMARD / Bundesnetzagentur
NL,136.0,2025-01-02 09:00:00+00:00,SMARD / Bundesnetzagentur
NL,111.93,2025-01-02 10:00:00+00:00,SMARD / Bundesnetzagentur
NL,101.52,2025-01-02 11:00:00+00:00,SMARD / Bundesnetzagentur
NL,105.6,2025-01-02 12:00:00+00:00,SMARD / Bundesnetzagentur
NL,118.95,2025-01-02 13:00:00+00:00,SMARD / Bundesnetzagentur
NL,130.11,2025-01-02 14:00:00+00:00,SMARD / Bundesnetzagentur
NL,138.81,2025-01-02 15:00:00+00:00,SMARD / Bundesnetzagentur
NL,153.0,2025-01-02 16:00:00+00:00,SMARD / Bundesnetzagentur
NL,152.99,2025-01-02 17:00:00+00:00,SMARD / Bundesnetzagentur
NL,128.0,2025-01-02 18:00:00+00:00,SMARD / Bundesnetzagentur
