zone,price_eur_mwh,timestamp_utc,source
PL,2.19,2025-01-01 00:00:00+00:00,SMARD / Bundesnetzagentur
PL,2.18,2025-01-01 01:00:00+00:00,SMARD / Bundesnetzagentur
PL,1.69,2025-01-01 02:00:00+00:00,SMARD / Bundesnetzagentur
PL,0.09,2025-01-01 03:00:00+00:00,SMARD / Bundesnetzagentur
PL,1.16,2025-01-01 04:00:00+00:00,SMARD / Bundesnetzagentur
PL,0.04,2025-01-01 05:00:00+00:00,SMARD / Bundesnetzagentur
PL,0.08,2025-01-01 06:00:00+00:00,SMARD / Bundesnetzagentur
PL,-4.94,2025-01-01 07:00:00+00:00,SMARD / Bundesnetzagentur
PL,-50.26,2025-01-01 08:00:00+00:00,SMARD / Bundesnetzagentur
PL,-72.99,2025-01-01 09:00:00+00:00,SMARD / Bundesnetzagentur
PL,-59.57,2025-01-01 10:00:00+00:00,SMARD / Bundesnetzagentur
PL,-48.26,2025-01-01 11:00:00+00:00,SMARD / Bundesnetzagentur
PL,-4.94,2025-01-01 12:00:00+00:00,SMARD / Bundesnetzagentur
PL,0.13,2025-01-01 13:00:00+00:00,SMARD / Bundesnetzagentur
PL,23.25,2025-01-01 14:00:00+00:00,SMARD / Bundesnetzagentur
PL,45.19,2025-01-01 15:00:00+00:00,SMARD / Bundesnetzagentur
PL,47.03,2025-01-01 16:00:00+00:00,SMARD / Bundesnetzagentur
PL,41.76,2025-01-01 17:00:00+00:00,SMARD / Bundesnetzagentur
PL,39.38,2025-01-01 18:00:00+00:00,SMARD / Bundesnetzagentur
PL,34.63,2025-01-01 19:00:00+00:00,SMARD / Bundesnetzagentur
PL,13.82,2025-01-01 20:00:00+00:00,SMARD / Bundesnetzagentur
PL,9.71,2025-01-01 21:00:00+00:00,SMARD / Bundesnetzagentur
PL,0.04,2025-01-01 22:00:00+00:00,SMARD / Bundesnetzagentur
PL,-15.12,2025-01-01 23:00:00+00:00,SMARD / Bundesnetzagentur
PL,-8.43,2025-01-02 00:00:00+00:00,SMARD / Bundesnetzagentur
PL,-21.04,2025-01-02 01:00:00+00:00,SMARD / Bundesnetzagentur
PL,-10.56,2025-01-02 02:00:00+00:00,SMARD / Bundesnetzagentur
PL,-10.68,2025-01-02 03:00:00+00:00,SMARD / Bundesnetzagentur
PL,0.05,2025-01-02 04:00:00+00:00,SMARD / Bundesnetzagentur
PL,40.08,2025-01-02 05:00:00+00:00,SMARD / Bundesnetzagentur
PL,93.73,2025-01-02 06:00:00+00:00,SMARD / Bundesnetzagentur
PL,107.61,2025-01-02 07:00:00+00:00,SMARD / Bundesnetzagentur
PL,114.93,2025-01-02 08:00:00+00:00,SMARD / Bundesnetzagentur
PL,119.79,2025-01-02 09:00:00+00:00,SMARD / Bundesnetzagentur
PL,110.47,2025-01-02 10:00:00+00:00,SMARD / Bundesnetzagentur
PL,96.95,2025-01-02 11:00:00+00:00,SMARD / Bundesnetzagentur
PL,108.02,2025-01-02 12:00:00+00:00,SMARD / Bundesnetzagentur
PL,113.55,2025-01-02 13:00:00+00:00,SMARD / Bundesnetzagentur
PL,130.11,2025-01-02 14:00:00+00:00,SMARD / Bundesnetzagentur
PL,136.43,2025-01-02 15:00:00+00:00,SMARD / Bundesnetzagentur
PL,151.99,2025-01-02 16:00:00+00:00,SMARD / Bundesnetzagentur
PL,152.6,2025-01-02 17:00:00+00:00,SMARD / Bundesnetzagentur
PL,139.06,2025-01-02 18:00:00+00:00,SMARD / Bundesnetzagentur
PL,128.74,2025-01-02 19:00:00+00:00,SMARD / Bundesnetzagentur
PL,100.91,2025-01-02 20:00:00+00:00,SMARD / Bundesnetzagentur
PL,101.27,2025-01-02 21:00:00+00:00,SMARD / Bundesnetzagentur
PL,74.79,2025-01-02 22:00:00+00:00,SMARD / Bundesnetzagentur
PL,89.13,2025-01-02 23:00:00+00:00,SMARD / Bundesnetzagentur
PL,68.97,2025-01-03 00:00:00+00:00,SMARD / Bundesnetzagentur
PL,73.07,2025-01-03 01:00:00+00:00,SMARD / Bundesnetzagentur
PL,74.27,2025-01-03 02:00:00+00:00,SMARD / Bundesnetzagentur
PL,53.28,2025-01-03 03:00:00+00:00,SMARD / Bundesnetzagentur
PL,68.0,2025-01-03 04:00:00+00:00,SMARD / Bundesnetzagentur
PL,97.53,2025-01-03 05:00:00+00:00,SMARD / Bundesnetzagentur
PL,90.8,2025-01-03 06:00:00+00:00,SMARD / Bundesnetzagentur
PL,99.9,2025-01-03 07:00:00+00:00,SMARD / Bundesnetzagentur
PL,100.75,2025-01-03 08:00:00+00:00,SMARD / Bundesnetzagentur
PL,82.92,2025-01-03 09:00:00+00:00,SMARD / Bundesnetzagentur
PL,73.93,2025-01-03 10:00:00+00:00,SMARD / Bundesnetzagentur
PL,89.18,2025-01-03 11:00:00+00:00,SMARD / Bundesnetzagentur
PL,92.99,2025-01-03 12:00:00+00:00,SMARD / Bundesnetzagentur
PL,94.02,2025-01-03 13:00:00+00:00,SMARD / Bundesnetzagentur
PL,89.08,2025-01-03 14:00:00+00:00,SMARD / Bundesnetzagentur
PL,100.59,2025-01-03 15:00:00+00:00,SMARD / Bundesnetzagentur
PL,105.93,2025-01-03 16:00:00+00:00,SMARD / Bundesnetzagentur
PL,108.99,2025-01-03 17:00:00+00:00,SMARD / Bundesnetzagentur
PL,108.44,2025-01-03 18:00:00+00:00,SMARD / Bundesnetzagentur
PL,88.19,2025-01-03 19:00:00+00:00,SMARD / Bundesnetzagentur
PL,88.5,2025-01-03 20:00:00+00:00,SMARD / Bundesnetzagentur
PL,89.08,2025-01-03 21:00:00+00:00,SMARD / Bundesnetzagentur
PL,68.95,2025-01-03 22:00:00+00:00,SMARD / Bundesnetzagentur
PL,57.35,2025-01-03 23:00:00+00:00,SMARD / Bundesnetzagentur
