zone,temperature_2m,wind_speed_10m,wind_speed_100m,cloud_cover,shortwave_radiation,timestamp_utc,latitude,longitude,source
FR,4.6,14.3,24.6,100,0.0,2025-01-01 00:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,4.8,15.1,25.6,100,0.0,2025-01-01 01:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,4.5,16.2,25.8,100,0.0,2025-01-01 02:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,4.2,14.1,23.8,100,0.0,2025-01-01 03:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,4.3,14.4,24.6,100,0.0,2025-01-01 04:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,4.5,14.9,26.1,100,0.0,2025-01-01 05:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,5.0,15.5,28.7,100,0.0,2025-01-01 06:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,5.4,16.6,30.5,100,0.0,2025-01-01 07:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,5.7,18.2,32.3,100,0.0,2025-01-01 08:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,6.2,18.5,32.9,100,20.0,2025-01-01 09:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,6.7,20.3,35.8,100,52.0,2025-01-01 10:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,6.9,15.7,27.2,100,80.0,2025-01-01 11:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,7.0,16.0,27.2,100,91.0,2025-01-01 12:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,6.8,15.9,27.2,100,72.0,2025-01-01 13:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,7.2,20.7,37.1,100,66.0,2025-01-01 14:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,7.7,25.0,43.9,100,46.0,2025-01-01 15:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,7.7,22.8,40.0,100,16.0,2025-01-01 16:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,8.2,23.6,41.0,100,0.0,2025-01-01 17:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,8.6,24.5,42.7,100,0.0,2025-01-01 18:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,8.6,25.0,43.7,100,0.0,2025-01-01 19:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,8.6,25.2,43.8,100,0.0,2025-01-01 20:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,8.8,24.7,42.9,100,0.0,2025-01-01 21:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,8.8,24.2,41.6,100,0.0,2025-01-01 22:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,9.2,26.6,46.3,100,0.0,2025-01-01 23:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,9.3,23.9,40.8,100,0.0,2025-01-02 00:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,9.7,25.2,43.9,100,0.0,2025-01-02 01:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,7.6,16.0,26.1,100,0.0,2025-01-02 02:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,4.6,12.2,20.9,100,0.0,2025-01-02 03:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,4.7,12.3,21.5,100,0.0,2025-01-02 04:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,3.0,6.7,10.2,100,0.0,2025-01-02 05:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,2.2,7.0,11.2,100,0.0,2025-01-02 06:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,1.7,4.9,7.0,100,0.0,2025-01-02 07:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,1.7,6.5,10.3,100,0.0,2025-01-02 08:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,2.2,5.4,8.4,100,5.0,2025-01-02 09:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,2.8,6.0,9.4,100,24.0,2025-01-02 10:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,3.3,5.8,8.9,100,38.0,2025-01-02 11:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,3.5,5.5,8.3,100,25.0,2025-01-02 12:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,4.3,7.5,11.7,100,43.0,2025-01-02 13:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,4.6,7.0,10.6,100,44.0,2025-01-02 14:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,5.0,5.8,10.2,100,35.0,2025-01-02 15:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,4.8,4.9,10.5,100,17.0,2025-01-02 16:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,3.7,6.6,16.0,100,0.0,2025-01-02 17:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,3.5,7.7,17.1,69,0.0,2025-01-02 18:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,2.8,8.3,18.8,46,0.0,2025-01-02 19:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,2.0,7.7,18.3,13,0.0,2025-01-02 20:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,1.2,7.2,17.4,3,0.0,2025-01-02 21:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,0.6,6.6,16.3,2,0.0,2025-01-02 22:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,0.1,6.2,15.2,0,0.0,2025-01-02 23:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,-0.5,6.5,15.4,0,0.0,2025-01-03 00:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,0.1,6.4,15.3,11,0.0,2025-01-03 01:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
FR,-0.3,5.9,13.3,2,0.0,2025-01-03 02:00:00+00:00,48.89279,2.2920206,Open-Meteo Historical Weather API
