zone,temperature_2m,wind_speed_10m,wind_speed_100m,cloud_cover,shortwave_radiation,timestamp_utc,latitude,longitude,source
NL,9.8,31.0,54.8,100,0.0,2025-01-01 00:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,9.9,30.6,53.9,100,0.0,2025-01-01 01:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,10.0,31.4,55.1,100,0.0,2025-01-01 02:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,10.0,32.0,55.9,100,0.0,2025-01-01 03:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,9.9,32.3,56.6,100,0.0,2025-01-01 04:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,9.8,31.6,55.8,100,0.0,2025-01-01 05:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,9.4,31.4,54.9,100,0.0,2025-01-01 06:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,9.2,30.1,51.8,100,0.0,2025-01-01 07:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,9.0,29.2,49.9,100,0.0,2025-01-01 08:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,9.1,31.4,52.0,100,5.0,2025-01-01 09:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,9.4,33.1,55.6,100,15.0,2025-01-01 10:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,9.8,35.9,60.5,100,29.0,2025-01-01 11:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,10.0,41.1,69.9,100,29.0,2025-01-01 12:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,10.3,38.7,66.5,100,29.0,2025-01-01 13:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,10.1,37.2,64.0,100,15.0,2025-01-01 14:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,9.5,36.1,62.7,100,8.0,2025-01-01 15:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,6.9,21.7,38.3,100,0.0,2025-01-01 16:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,5.2,18.8,33.5,100,0.0,2025-01-01 17:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,4.3,19.4,32.0,100,0.0,2025-01-01 18:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,4.7,20.7,37.1,100,0.0,2025-01-01 19:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,5.6,22.7,41.1,100,0.0,2025-01-01 20:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,6.2,23.7,42.0,100,0.0,2025-01-01 21:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,6.7,23.6,41.6,100,0.0,2025-01-01 22:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,6.9,20.1,36.1,60,0.0,2025-01-01 23:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,6.0,11.9,24.9,15,0.0,2025-01-02 00:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,5.5,10.0,21.5,86,0.0,2025-01-02 01:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,5.0,7.3,18.6,46,0.0,2025-01-02 02:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,4.7,6.8,18.0,33,0.0,2025-01-02 03:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,3.9,6.1,17.7,20,0.0,2025-01-02 04:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,2.8,4.5,15.0,41,0.0,2025-01-02 05:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,2.9,6.2,18.5,51,0.0,2025-01-02 06:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
NL,2.1,5.3,16.3,34,0.0,2025-01-02 07:00:00+00:00,52.40773,4.842301,Open-Meteo Historical Weather API
