zone,temperature_2m,wind_speed_10m,wind_speed_100m,cloud_cover,shortwave_radiation,timestamp_utc,latitude,longitude,source
PL,0.8,15.4,30.6,5,0.0,2025-01-01 00:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,2.1,17.1,33.1,27,0.0,2025-01-01 01:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,2.0,17.5,33.3,97,0.0,2025-01-01 02:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,1.9,17.9,33.9,74,0.0,2025-01-01 03:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,2.0,20.2,37.3,100,0.0,2025-01-01 04:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,2.2,20.9,37.9,100,0.0,2025-01-01 05:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,2.2,19.9,36.5,100,0.0,2025-01-01 06:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,2.2,19.6,36.2,100,0.0,2025-01-01 07:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,2.8,20.3,36.5,100,29.0,2025-01-01 08:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,3.7,20.9,36.9,100,80.0,2025-01-01 09:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,4.6,22.1,37.9,100,121.0,2025-01-01 10:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,5.3,23.0,39.6,100,140.0,2025-01-01 11:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,5.5,19.9,34.9,100,141.0,2025-01-01 12:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,6.3,21.5,37.7,100,114.0,2025-01-01 13:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,6.0,21.5,38.1,100,55.0,2025-01-01 14:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,5.5,22.4,39.9,100,5.0,2025-01-01 15:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,5.6,23.3,40.9,100,0.0,2025-01-01 16:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,5.3,23.0,41.0,100,0.0,2025-01-01 17:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,5.1,23.5,41.9,100,0.0,2025-01-01 18:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,5.3,24.1,43.2,100,0.0,2025-01-01 19:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,5.8,24.2,43.2,100,0.0,2025-01-01 20:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,6.4,24.8,44.0,100,0.0,2025-01-01 21:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,6.7,24.9,44.0,100,0.0,2025-01-01 22:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,6.8,24.4,43.3,100,0.0,2025-01-01 23:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,6.7,24.0,42.5,100,0.0,2025-01-02 00:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
PL,8.1,24.3,43.4,100,0.0,2025-01-02 01:00:00+00:00,52.26713,20.961182,Open-Meteo Historical Weather API
